sim_id,time,s1,at,s2,s3,na,s4,s5,s6,s6o
0,0.0,1.0,2.0,5.0,0.6,0.6,0.7,8.0,0.08,0.02
0,0.20040080160320642,1.1731217528603635,2.5384324996181937,4.862072731005538,0.5293550329741896,0.5964191441861548,0.64448270599785,8.200532015947088,0.0747276978965841,0.023644777745075313
0,0.40080160320641284,0.20830262764267518,0.6204523183226218,5.991720304335451,0.5789091661045902,0.5342313159112212,0.32474624941347013,8.480358930908148,0.06978482961130286,0.023153724245538587
0,0.6012024048096193,1.3468956816551934,2.9941541703817522,4.6833819274803625,0.5634018678761215,0.6232750002542666,0.8511169712813501,8.13922524855044,0.07789973204961116,0.02431422409498473
0,0.8016032064128257,1.1111395114897435,1.2268786283529625,5.275903901651751,0.4795476045434223,0.5985241377461147,0.49099662716913156,8.278753232781847,0.07638296266853553,0.024895540277798993
0,1.0020040080160322,0.9103945953648248,2.762175125361415,5.10599651057905,0.5912919602310023,0.5853290006609542,0.695241058686947,8.391012098483625,0.07459853773972383,0.023208203187948088
0,1.2024048096192386,1.898551299193094,2.668648798811853,4.424594628732317,0.47843579921441404,0.6384441526376597,0.7878236397383223,8.055814951055842,0.07997897381904,0.02561829744866653
0,1.402805611222445,0.3936183092045965,1.9382102873209819,5.687714278645517,0.6144992369465287,0.5355641497056502,0.4751930199256413,8.594590845545277,0.07022840224043964,0.022287406972004573
0,1.6032064128256514,1.7755557844915775,2.9844971532315463,4.407193874932145,0.5234920649078848,0.6455117324349128,0.9266329302564577,8.026306782458395,0.08063910685937761,0.025539901898710228
0,1.8036072144288577,0.18218434843772957,0.7377383111592122,6.069226644734557,0.5991210010043984,0.5272494490071348,0.3368777948391705,8.592948026388362,0.06978082712733504,0.02304871423972408
0,2.0040080160320644,1.3846901458961156,3.0270719157074653,4.68024283842636,0.5677729260642189,0.6275652008139522,0.8793815986427537,8.171614120784522,0.07888407118996571,0.024624292842931828
0,2.2044088176352705,1.3410366963649665,1.5796395168546995,5.071446044528477,0.4740758169882785,0.6057352986283482,0.530307745791312,8.266964239746683,0.07726717111718051,0.025127106132266767
0,2.404809619238477,0.8509626076945136,2.707299973376808,5.175061387072673,0.5951413648890533,0.5795488682976064,0.6719932961245952,8.434949407746622,0.07420641246494933,0.02310622622900424
0,2.6052104208416833,1.9112069109766499,2.738947608259483,4.398416467795282,0.48372621023201756,0.6412347890278275,0.8194042433881404,8.04645430881934,0.08031467591841265,0.025688684964061747
0,2.80561122244489,0.32735818693409074,1.7561402370683106,5.776034404614267,0.6170228450746581,0.530399562517855,0.4468783224849711,8.612334042167147,0.06982836064335139,0.02227521390937634
0,3.006012024048096,1.729219970912852,3.008740786788513,4.433056334740971,0.5313883986772352,0.6446578166845587,0.9333130177519596,8.038373006593652,0.08057926641696204,0.025467222986396355
0,3.2064128256513027,0.2163088773250191,0.6008618593105355,6.06771717784654,0.587212788991902,0.5329143370267097,0.3262922865823038,8.57731243578616,0.07042568565582359,0.023385907854606095
