sigma,new_rate,orig_rate,new_time,orig_time,new_ci_low,new_ci_high,orig_ci_low,orig_ci_high
0.0,1.0,1.0,0.016431387265523276,0.007211923599243164,0.8864866068260312,0.9999999999999999,0.8864866068260312,0.9999999999999999
0.02,1.0,0.6,0.013785672187805176,0.008834481239318848,0.8864866068260312,0.9999999999999999,0.42320360253322475,0.7540937188319815
0.04,1.0,0.0,0.012952009836832682,0.009295320510864258,0.8864866068260312,0.9999999999999999,0.0,0.11351339317396876
0.06,1.0,0.0,0.013349294662475586,0.010171643892923991,0.8864866068260312,0.9999999999999999,0.0,0.11351339317396876
0.08,1.0,0.0,0.012212069829305013,0.009973692893981933,0.8864866068260312,0.9999999999999999,0.0,0.11351339317396876
0.1,1.0,0.0,0.013525390625,0.010591840744018555,0.8864866068260312,0.9999999999999999,0.0,0.11351339317396876
0.12,1.0,0.0,0.01322948932647705,0.011460534731547038,0.8864866068260312,0.9999999999999999,0.0,0.11351339317396876
0.14,1.0,0.0,0.013603138923645019,0.013326160113016764,0.8864866068260312,0.9999999999999999,0.0,0.11351339317396876
0.16,0.9666666666666667,0.0,0.014445837338765461,0.011855189005533855,0.8332960900859082,0.9940914096183874,0.0,0.11351339317396876
0.18,0.6,0.0,0.02329223950703939,0.01392831007639567,0.42320360253322475,0.7540937188319815,0.0,0.11351339317396876
0.2,0.03333333333333333,0.0,0.007665117581685384,0.015050506591796875,0.005908590381612455,0.16670390991409173,0.0,0.11351339317396876
0.22,0.0,0.0,0.006063214937845866,0.015849010149637858,0.0,0.11351339317396876,0.0,0.11351339317396876
0.24,0.0,0.0,0.006107815106709798,0.016640488306681314,0.0,0.11351339317396876,0.0,0.11351339317396876
0.26,0.0,0.0,0.00808730920155843,0.01670392354329427,0.0,0.11351339317396876,0.0,0.11351339317396876
0.28,0.0,0.0,0.006593918800354004,0.01732942263285319,0.0,0.11351339317396876,0.0,0.11351339317396876
0.3,0.0,0.0,0.007426595687866211,0.02033680280049642,0.0,0.11351339317396876,0.0,0.11351339317396876
0.32,0.0,0.0,0.006262874603271485,0.018474388122558593,0.0,0.11351339317396876,0.0,0.11351339317396876
0.34,0.0,0.0,0.025340723991394042,0.01862818400065104,0.0,0.11351339317396876,0.0,0.11351339317396876
0.36,0.0,0.0,0.021872337659200033,0.01911919116973877,0.0,0.11351339317396876,0.0,0.11351339317396876
0.38,0.0,0.0,0.022085944811503094,0.02015839417775472,0.0,0.11351339317396876,0.0,0.11351339317396876
0.4,0.0,0.0,0.022435657183329263,0.02127236525217692,0.0,0.11351339317396876,0.0,0.11351339317396876
