sigma,n_seeds,exact_rate,ci_low,ci_high,degenerate_rate,exception_rate,mean_n_candidates
0.0,2,0.0,0,0.6576197724933469,0.0,0.0,1.5
0.05,2,0.0,0,0.6576197724933469,0.0,0.0,0.0
