system,min_denom,qmax,seed,exact,runtime_s
circle,1,32,19,True,0.0086295740002242
circle,1,32,20,True,0.0096786150024854
circle,1,32,21,True,0.0084942320027039
circle,1,32,22,True,0.0087172589992405
circle,1,32,23,True,0.0085112990018387
circle,1,32,24,True,0.0083751599995594
circle,1,32,25,True,0.0085431549996428
circle,1,32,26,True,0.008530344999599
circle,1,32,27,True,0.0085336299998743
circle,1,32,28,True,0.0085386620012286
circle,1,32,29,True,0.0083011470014753
circle,1,64,0,True,0.0088092389996745
circle,1,64,1,True,0.0088536479997856
circle,1,64,2,True,0.009312491001765
circle,1,64,3,True,0.0092474599987326
circle,1,64,4,True,0.0095992610004032
circle,1,64,5,True,0.0092311859989422
circle,1,64,6,True,0.0089387539992458
circle,1,64,7,True,0.0088913289982883
circle,1,64,8,True,0.0092468710026878
circle,1,64,9,True,0.0093416329982574
circle,1,64,10,True,0.0091740999996545
circle,1,64,11,True,0.0091943499974149
circle,1,64,12,True,0.0090900549985235
circle,1,64,13,True,0.0089240730012534
circle,1,64,14,True,0.0090195279990439
circle,1,64,15,True,0.0096549259978928
circle,1,64,16,True,0.0092529039975488
circle,1,64,17,True,0.0090094570005021
circle,1,64,18,True,0.0093420560006052
circle,1,64,19,True,0.0088832230030675
circle,1,64,20,True,0.0093341700012388
circle,1,64,21,True,0.009585160001734
circle,1,64,22,True,0.0099822970005334
circle,1,64,23,True,0.0112854090002656
circle,1,64,24,True,0.0089616080003906
circle,1,64,25,True,0.0090961630012316
circle,1,64,26,True,0.0094637939982931
circle,1,64,27,True,0.0091937159995723
circle,1,64,28,True,0.0089305020010215
circle,1,64,29,True,0.0087878199992701
ellipse_357,7,2,0,False,0.113988444001734
ellipse_357,7,2,1,False,0.0054969289994915
ellipse_357,7,2,2,False,0.0056935020002129
ellipse_357,7,2,3,False,0.0054855079979461
ellipse_357,7,2,4,False,0.0054155830002855
ellipse_357,7,2,5,False,0.0054388019998441
ellipse_357,7,2,6,False,0.0054363519993785
ellipse_357,7,2,7,False,0.0054171849988051
ellipse_357,7,2,8,False,0.0054625829980068
ellipse_357,7,2,9,False,0.0053976630006218
ellipse_357,7,2,10,False,0.0055340009967039
ellipse_357,7,2,11,False,0.0054394840008171
ellipse_357,7,2,12,False,0.0055031669980962
ellipse_357,7,2,13,False,0.0059498800001165
ellipse_357,7,2,14,False,0.0054047209996497
ellipse_357,7,2,15,False,0.0053847589988436
ellipse_357,7,2,16,False,0.0053444769982888
ellipse_357,7,2,17,False,0.0054251729998213
ellipse_357,7,2,18,False,0.0056499610000173
ellipse_357,7,2,19,False,0.0054644129995722
ellipse_357,7,2,20,False,0.0054047640005592
ellipse_357,7,2,21,False,0.0053671269997721
ellipse_357,7,2,22,False,0.0068116710026515
ellipse_357,7,2,23,False,0.0055832079997344
ellipse_357,7,2,24,False,0.0110564169990539
ellipse_357,7,2,25,False,0.0055930230009835
ellipse_357,7,2,26,False,0.0054101960013213
ellipse_357,7,2,27,False,0.0054554880007344
ellipse_357,7,2,28,False,0.0055407139989256
ellipse_357,7,2,29,False,0.0055264080001506
ellipse_357,7,4,0,False,0.0054776940014562
ellipse_357,7,4,1,False,0.0054317799986165
ellipse_357,7,4,2,False,0.0055840999993961
ellipse_357,7,4,3,False,0.0055197000001498
ellipse_357,7,4,4,False,0.0056018299983406
ellipse_357,7,4,5,False,0.0054520810008398
ellipse_357,7,4,6,False,0.0053968399988661
ellipse_357,7,4,7,False,0.0054145789981703
ellipse_357,7,4,8,False,0.0055160070005513
ellipse_357,7,4,9,False,0.0055658480014244
ellipse_357,7,4,10,False,0.0056530629990447
ellipse_357,7,4,11,False,0.0054746589994465
ellipse_357,7,4,12,False,0.0054857430004631
ellipse_357,7,4,13,False,0.0055138410025392
ellipse_357,7,4,14,False,0.0054859419979038
ellipse_357,7,4,15,False,0.0054265170001599
ellipse_357,7,4,16,False,0.0055986300030781
ellipse_357,7,4,17,False,0.0055275970007642
ellipse_357,7,4,18,False,0.005483123997692
ellipse_357,7,4,19,False,0.0054893589986022
ellipse_357,7,4,20,False,0.0054416579987446
ellipse_357,7,4,21,False,0.0054741720014135
ellipse_357,7,4,22,False,0.0055186710014822
ellipse_357,7,4,23,False,0.0055497120010841
ellipse_357,7,4,24,False,0.005528765002964
ellipse_357,7,4,25,False,0.0055070760026865
ellipse_357,7,4,26,False,0.0054736900019634
ellipse_357,7,4,27,False,0.0054056890003266
ellipse_357,7,4,28,False,0.0054748590009694
ellipse_357,7,4,29,False,0.005604283996945
ellipse_357,7,8,0,True,0.0377540180015785
ellipse_357,7,8,1,True,0.0337702169999829
ellipse_357,7,8,2,True,0.0338537720017484
ellipse_357,7,8,3,True,0.0344789310001942
ellipse_357,7,8,4,True,0.0338653619983233
ellipse_357,7,8,5,True,0.0338801379984943
ellipse_357,7,8,6,True,0.0338397409977915
ellipse_357,7,8,7,True,0.0336383370013209
ellipse_357,7,8,8,True,0.0338380270004563
ellipse_357,7,8,9,True,0.0336647499971149
ellipse_357,7,8,10,True,0.0339448539998556
ellipse_357,7,8,11,True,0.03393464599867
ellipse_357,7,8,12,True,0.0343289990014454
ellipse_357,7,8,13,True,0.0339400779994321
ellipse_357,7,8,14,True,0.0339581389998784
ellipse_357,7,8,15,True,0.0340359259971592
ellipse_357,7,8,16,True,0.0340428259987675
ellipse_357,7,8,17,True,0.0349741200006974
ellipse_357,7,8,18,True,0.036581987998943
ellipse_357,7,8,19,True,0.0339987400002428
ellipse_357,7,8,20,True,0.0345650230010505
ellipse_357,7,8,21,True,0.0340085059979173
ellipse_357,7,8,22,True,0.0337986199992883
ellipse_357,7,8,23,True,0.0342051890002039
ellipse_357,7,8,24,True,0.0355725889967288
ellipse_357,7,8,25,True,0.0340033379980013
ellipse_357,7,8,26,True,0.0337780619993282
ellipse_357,7,8,27,True,0.0336436849975143
ellipse_357,7,8,28,True,0.0336699859981308
ellipse_357,7,8,29,True,0.0337210569996386
ellipse_357,7,16,0,True,0.0343505540004116
ellipse_357,7,16,1,True,0.0343070859998988
ellipse_357,7,16,2,True,0.0342594520006969
ellipse_357,7,16,3,True,0.0342868789994099
ellipse_357,7,16,4,True,0.0343679170000541
ellipse_357,7,16,5,True,0.0343195470013597
ellipse_357,7,16,6,True,0.0342746749993239
ellipse_357,7,16,7,True,0.034262524000951
ellipse_357,7,16,8,True,0.034262856002897
ellipse_357,7,16,9,True,0.0343452009983593
ellipse_357,7,16,10,True,0.0343436189978092
ellipse_357,7,16,11,True,0.0342132430014316
ellipse_357,7,16,12,True,0.0363730259996373
ellipse_357,7,16,13,True,0.0357210270012728
ellipse_357,7,16,14,True,0.0348565339991182
ellipse_357,7,16,15,True,0.0364326089984388
ellipse_357,7,16,16,True,0.034747857000184
ellipse_357,7,16,17,True,0.0343891159973281
ellipse_357,7,16,18,True,0.0342040159994212
ellipse_357,7,16,19,True,0.0345557940017897
ellipse_357,7,16,20,True,0.0343969009991269
ellipse_357,7,16,21,True,0.0344570710003608
ellipse_357,7,16,22,True,0.0344983059985679
ellipse_357,7,16,23,True,0.0348417470013373
ellipse_357,7,16,24,True,0.0345804619973932
ellipse_357,7,16,25,True,0.0343384979969414
ellipse_357,7,16,26,True,0.0344902210017608
ellipse_357,7,16,27,True,0.0350465769988659
ellipse_357,7,16,28,True,0.0345299019973026
ellipse_357,7,16,29,True,0.0351623179994931
ellipse_357,7,32,0,True,0.0361488130001816
ellipse_357,7,32,1,True,0.0354859620019851
ellipse_357,7,32,2,True,0.035549282998545
ellipse_357,7,32,3,True,0.0363379770024039
ellipse_357,7,32,4,True,0.0355161949992179
ellipse_357,7,32,5,True,0.0358660529964254
ellipse_357,7,32,6,True,0.0354168289995868
ellipse_357,7,32,7,True,0.040311892000318
ellipse_357,7,32,8,True,0.0359035300025425
ellipse_357,7,32,9,True,0.0355783800005156
ellipse_357,7,32,10,True,0.03618100300082
ellipse_357,7,32,11,True,0.0362092219984333
ellipse_357,7,32,12,True,0.0376822799989895
ellipse_357,7,32,13,True,0.0378028429986443
ellipse_357,7,32,14,True,0.0356519470005878
ellipse_357,7,32,15,True,0.0357667040007072
