dt,sparsity_rate,rationality_rate,n_seeds,sparsity_ci_low,sparsity_ci_high,rationality_ci_low,rationality_ci_high
0.05,0.0,1.0,30,0.0,0.11351339317396876,0.8864866068260312,0.9999999999999999
0.08,0.0,1.0,30,0.0,0.11351339317396876,0.8864866068260312,0.9999999999999999
0.1,0.0,1.0,30,0.0,0.11351339317396876,0.8864866068260312,0.9999999999999999
0.12,0.0,1.0,30,0.0,0.11351339317396876,0.8864866068260312,0.9999999999999999
0.15,0.0,1.0,30,0.0,0.11351339317396876,0.8864866068260312,0.9999999999999999
0.18,0.0,1.0,30,0.0,0.11351339317396876,0.8864866068260312,0.9999999999999999
0.2,0.0,1.0,30,0.0,0.11351339317396876,0.8864866068260312,0.9999999999999999
0.22,0.0,1.0,30,0.0,0.11351339317396876,0.8864866068260312,0.9999999999999999
0.25,0.0,1.0,30,0.0,0.11351339317396876,0.8864866068260312,0.9999999999999999
0.28,0.0,1.0,30,0.0,0.11351339317396876,0.8864866068260312,0.9999999999999999
0.3,0.0,1.0,30,0.0,0.11351339317396876,0.8864866068260312,0.9999999999999999
