degree,rate,ci_low,ci_high
1,0.0,0.0,0.11351339317396876
2,1.0,0.8864866068260312,0.9999999999999999
3,1.0,0.8864866068260312,0.9999999999999999
4,1.0,0.8864866068260312,0.9999999999999999
