phi,sigma,seed,exact,n_generators,time
0.5,0.05,0,True,1,0.007911920547485352
0.5,0.05,1,True,1,0.0077784061431884766
0.5,0.05,2,True,1,0.007880926132202148
0.5,0.05,3,True,1,0.007760047912597656
0.5,0.05,4,True,1,0.007955551147460938
0.5,0.05,5,True,1,0.00840306282043457
0.5,0.05,6,True,1,0.007906198501586914
0.5,0.05,7,True,1,0.007821321487426758
0.5,0.05,8,True,1,0.008083820343017578
0.5,0.05,9,True,1,0.007710933685302734
0.5,0.05,10,True,1,0.007834434509277344
0.5,0.05,11,True,1,0.010276556015014648
0.5,0.05,12,True,1,0.008118152618408203
0.5,0.05,13,True,1,0.00791168212890625
0.5,0.05,14,True,1,0.008084774017333984
0.5,0.05,15,True,1,0.007748126983642578
0.5,0.05,16,True,1,0.007872343063354492
0.5,0.05,17,True,1,0.007825851440429688
0.5,0.05,18,True,1,0.007763862609863281
0.5,0.05,19,True,1,0.007663249969482422
0.5,0.05,20,True,1,0.007941246032714844
0.5,0.05,21,True,1,0.007792472839355469
0.5,0.05,22,True,1,0.00784158706665039
0.5,0.05,23,True,1,0.008552312850952148
0.5,0.05,24,True,1,0.007993221282958984
0.5,0.05,25,True,1,0.007931947708129883
0.5,0.05,26,True,1,0.007873296737670898
0.5,0.05,27,True,1,0.0077533721923828125
0.5,0.05,28,True,1,0.007754087448120117
0.5,0.05,29,True,1,0.008195161819458008
0.5,0.1,0,True,1,0.007875680923461914
0.5,0.1,1,True,1,0.008072137832641602
0.5,0.1,2,True,1,0.00805521011352539
0.5,0.1,3,True,1,0.00785970687866211
0.5,0.1,4,True,1,0.007803201675415039
0.5,0.1,5,True,1,0.007879018783569336
0.5,0.1,6,True,1,0.007941484451293945
0.5,0.1,7,True,1,0.008643150329589844
0.5,0.1,8,True,1,0.008044242858886719
0.5,0.1,9,True,1,0.007770538330078125
0.5,0.1,10,True,1,0.008124113082885742
0.5,0.1,11,True,1,0.007823705673217773
0.5,0.1,12,True,1,0.00783538818359375
0.5,0.1,13,True,1,0.007818222045898438
0.5,0.1,14,True,1,0.007916688919067383
0.5,0.1,15,True,1,0.0078125
0.5,0.1,16,True,1,0.007887840270996094
0.5,0.1,17,True,1,0.009726524353027344
0.5,0.1,18,True,1,0.007915735244750977
0.5,0.1,19,True,1,0.00786447525024414
0.5,0.1,20,True,1,0.00811147689819336
0.5,0.1,21,True,1,0.007894277572631836
0.5,0.1,22,True,1,0.0077533721923828125
0.5,0.1,23,True,1,0.01458597183227539
