system,sigma,k,seed,avi_cardinality,avi_contains_true
harmonic_oscillator_2d,0.02,2.0,9,3,False
harmonic_oscillator_2d,0.02,2.5,0,3,False
harmonic_oscillator_2d,0.02,2.5,1,3,False
harmonic_oscillator_2d,0.02,2.5,2,4,False
harmonic_oscillator_2d,0.02,2.5,3,3,False
harmonic_oscillator_2d,0.02,2.5,4,4,False
harmonic_oscillator_2d,0.02,2.5,5,4,False
harmonic_oscillator_2d,0.02,2.5,6,4,False
harmonic_oscillator_2d,0.02,2.5,7,4,False
harmonic_oscillator_2d,0.02,2.5,8,6,False
harmonic_oscillator_2d,0.02,2.5,9,4,False
harmonic_oscillator_2d,0.02,3.0,0,3,False
harmonic_oscillator_2d,0.02,3.0,1,3,False
harmonic_oscillator_2d,0.02,3.0,2,6,False
harmonic_oscillator_2d,0.02,3.0,3,3,False
harmonic_oscillator_2d,0.02,3.0,4,6,False
harmonic_oscillator_2d,0.02,3.0,5,5,False
harmonic_oscillator_2d,0.02,3.0,6,4,False
harmonic_oscillator_2d,0.02,3.0,7,6,False
harmonic_oscillator_2d,0.02,3.0,8,7,False
harmonic_oscillator_2d,0.02,3.0,9,6,False
harmonic_oscillator_2d,0.02,3.5,0,3,False
harmonic_oscillator_2d,0.02,3.5,1,3,False
harmonic_oscillator_2d,0.02,3.5,2,7,False
harmonic_oscillator_2d,0.02,3.5,3,3,False
harmonic_oscillator_2d,0.02,3.5,4,7,False
harmonic_oscillator_2d,0.02,3.5,5,7,False
harmonic_oscillator_2d,0.02,3.5,6,6,False
harmonic_oscillator_2d,0.02,3.5,7,7,False
harmonic_oscillator_2d,0.02,3.5,8,7,False
harmonic_oscillator_2d,0.02,3.5,9,7,False
harmonic_oscillator_2d,0.02,4.0,0,3,False
harmonic_oscillator_2d,0.02,4.0,1,3,False
harmonic_oscillator_2d,0.02,4.0,2,7,False
harmonic_oscillator_2d,0.02,4.0,3,3,False
harmonic_oscillator_2d,0.02,4.0,4,7,False
harmonic_oscillator_2d,0.02,4.0,5,7,False
harmonic_oscillator_2d,0.02,4.0,6,7,False
harmonic_oscillator_2d,0.02,4.0,7,7,False
harmonic_oscillator_2d,0.02,4.0,8,7,False
harmonic_oscillator_2d,0.02,4.0,9,7,False
harmonic_oscillator_2d,0.02,5.0,0,4,False
harmonic_oscillator_2d,0.02,5.0,1,4,False
harmonic_oscillator_2d,0.02,5.0,2,7,False
harmonic_oscillator_2d,0.02,5.0,3,4,False
harmonic_oscillator_2d,0.02,5.0,4,7,False
harmonic_oscillator_2d,0.02,5.0,5,7,False
harmonic_oscillator_2d,0.02,5.0,6,7,False
harmonic_oscillator_2d,0.02,5.0,7,7,False
harmonic_oscillator_2d,0.02,5.0,8,7,False
harmonic_oscillator_2d,0.02,5.0,9,7,False
harmonic_oscillator_2d,0.02,7.0,0,6,False
harmonic_oscillator_2d,0.02,7.0,1,6,False
harmonic_oscillator_2d,0.02,7.0,2,7,False
harmonic_oscillator_2d,0.02,7.0,3,6,False
harmonic_oscillator_2d,0.02,7.0,4,7,False
harmonic_oscillator_2d,0.02,7.0,5,7,False
harmonic_oscillator_2d,0.02,7.0,6,7,False
harmonic_oscillator_2d,0.02,7.0,7,7,False
harmonic_oscillator_2d,0.02,7.0,8,7,False
harmonic_oscillator_2d,0.02,7.0,9,7,False
harmonic_oscillator_2d,0.05,0.0,0,0,False
harmonic_oscillator_2d,0.05,0.0,1,0,False
harmonic_oscillator_2d,0.05,0.0,2,0,False
harmonic_oscillator_2d,0.05,0.0,3,0,False
harmonic_oscillator_2d,0.05,0.0,4,0,False
harmonic_oscillator_2d,0.05,0.0,5,0,False
harmonic_oscillator_2d,0.05,0.0,6,0,False
harmonic_oscillator_2d,0.05,0.0,7,0,False
harmonic_oscillator_2d,0.05,0.0,8,0,False
harmonic_oscillator_2d,0.05,0.0,9,0,False
harmonic_oscillator_2d,0.05,1.0,0,0,False
harmonic_oscillator_2d,0.05,1.0,1,1,False
harmonic_oscillator_2d,0.05,1.0,2,3,False
harmonic_oscillator_2d,0.05,1.0,3,0,False
harmonic_oscillator_2d,0.05,1.0,4,3,False
harmonic_oscillator_2d,0.05,1.0,5,3,False
harmonic_oscillator_2d,0.05,1.0,6,3,False
harmonic_oscillator_2d,0.05,1.0,7,3,False
harmonic_oscillator_2d,0.05,1.0,8,3,False
harmonic_oscillator_2d,0.05,1.0,9,3,False
harmonic_oscillator_2d,0.05,1.5,0,3,False
harmonic_oscillator_2d,0.05,1.5,1,3,False
harmonic_oscillator_2d,0.05,1.5,2,3,False
harmonic_oscillator_2d,0.05,1.5,3,3,False
harmonic_oscillator_2d,0.05,1.5,4,3,False
harmonic_oscillator_2d,0.05,1.5,5,3,False
harmonic_oscillator_2d,0.05,1.5,6,3,False
harmonic_oscillator_2d,0.05,1.5,7,3,False
harmonic_oscillator_2d,0.05,1.5,8,3,False
harmonic_oscillator_2d,0.05,1.5,9,3,False
harmonic_oscillator_2d,0.05,2.0,0,3,False
harmonic_oscillator_2d,0.05,2.0,1,3,False
harmonic_oscillator_2d,0.05,2.0,2,3,False
harmonic_oscillator_2d,0.05,2.0,3,3,False
harmonic_oscillator_2d,0.05,2.0,4,3,False
harmonic_oscillator_2d,0.05,2.0,5,3,False
harmonic_oscillator_2d,0.05,2.0,6,3,False
harmonic_oscillator_2d,0.05,2.0,7,4,False
harmonic_oscillator_2d,0.05,2.0,8,4,False
harmonic_oscillator_2d,0.05,2.0,9,3,False
harmonic_oscillator_2d,0.05,2.5,0,3,False
harmonic_oscillator_2d,0.05,2.5,1,3,False
harmonic_oscillator_2d,0.05,2.5,2,4,False
harmonic_oscillator_2d,0.05,2.5,3,3,False
harmonic_oscillator_2d,0.05,2.5,4,4,False
harmonic_oscillator_2d,0.05,2.5,5,4,False
harmonic_oscillator_2d,0.05,2.5,6,4,False
harmonic_oscillator_2d,0.05,2.5,7,4,False
harmonic_oscillator_2d,0.05,2.5,8,6,False
harmonic_oscillator_2d,0.05,2.5,9,4,False
harmonic_oscillator_2d,0.05,3.0,0,3,False
harmonic_oscillator_2d,0.05,3.0,1,3,False
harmonic_oscillator_2d,0.05,3.0,2,6,False
harmonic_oscillator_2d,0.05,3.0,3,3,False
harmonic_oscillator_2d,0.05,3.0,4,6,False
harmonic_oscillator_2d,0.05,3.0,5,5,False
harmonic_oscillator_2d,0.05,3.0,6,4,False
harmonic_oscillator_2d,0.05,3.0,7,6,False
harmonic_oscillator_2d,0.05,3.0,8,7,False
harmonic_oscillator_2d,0.05,3.0,9,6,False
harmonic_oscillator_2d,0.05,3.5,0,3,False
harmonic_oscillator_2d,0.05,3.5,1,3,False
harmonic_oscillator_2d,0.05,3.5,2,7,False
harmonic_oscillator_2d,0.05,3.5,3,3,False
harmonic_oscillator_2d,0.05,3.5,4,7,False
harmonic_oscillator_2d,0.05,3.5,5,7,False
harmonic_oscillator_2d,0.05,3.5,6,6,False
harmonic_oscillator_2d,0.05,3.5,7,7,False
harmonic_oscillator_2d,0.05,3.5,8,7,False
harmonic_oscillator_2d,0.05,3.5,9,7,False
harmonic_oscillator_2d,0.05,4.0,0,3,False
harmonic_oscillator_2d,0.05,4.0,1,3,False
harmonic_oscillator_2d,0.05,4.0,2,7,False
harmonic_oscillator_2d,0.05,4.0,3,3,False
harmonic_oscillator_2d,0.05,4.0,4,7,False
harmonic_oscillator_2d,0.05,4.0,5,7,False
harmonic_oscillator_2d,0.05,4.0,6,7,False
harmonic_oscillator_2d,0.05,4.0,7,7,False
harmonic_oscillator_2d,0.05,4.0,8,7,False
harmonic_oscillator_2d,0.05,4.0,9,7,False
harmonic_oscillator_2d,0.05,5.0,0,4,False
harmonic_oscillator_2d,0.05,5.0,1,4,False
harmonic_oscillator_2d,0.05,5.0,2,7,False
harmonic_oscillator_2d,0.05,5.0,3,4,False
harmonic_oscillator_2d,0.05,5.0,4,7,False
harmonic_oscillator_2d,0.05,5.0,5,7,False
harmonic_oscillator_2d,0.05,5.0,6,7,False
harmonic_oscillator_2d,0.05,5.0,7,7,False
harmonic_oscillator_2d,0.05,5.0,8,7,False
harmonic_oscillator_2d,0.05,5.0,9,7,False
harmonic_oscillator_2d,0.05,7.0,0,7,False
harmonic_oscillator_2d,0.05,7.0,1,7,False
harmonic_oscillator_2d,0.05,7.0,2,7,False
harmonic_oscillator_2d,0.05,7.0,3,6,False
harmonic_oscillator_2d,0.05,7.0,4,7,False
harmonic_oscillator_2d,0.05,7.0,5,7,False
harmonic_oscillator_2d,0.05,7.0,6,7,False
harmonic_oscillator_2d,0.05,7.0,7,7,False
harmonic_oscillator_2d,0.05,7.0,8,7,False
harmonic_oscillator_2d,0.05,7.0,9,7,False
