system,sigma,n_seeds,mean_avi_cardinality,avi_contains_true_rate,avi_contains_true_ci_low,avi_contains_true_ci_high,srgb_exact_rate,mean_avi_runtime_sec
circle,0.0,30,1.0,1.0,0.8864866068260312,0.9999999999999999,1.0,0.0013160943984985352
circle,0.01,30,1.0,1.0,0.8864866068260312,0.9999999999999999,1.0,0.0012531677881876628
circle,0.02,30,1.0,1.0,0.8864866068260312,0.9999999999999999,1.0,0.0012703498204549154
cubic_algebraic_toy,0.0,30,1.0,1.0,0.8864866068260312,0.9999999999999999,1.0,0.004103692372639974
cubic_algebraic_toy,0.01,30,3.0,0.0,0.0,0.11351339317396876,1.0,0.0043137947718302405
cubic_algebraic_toy,0.02,30,3.0,0.0,0.0,0.11351339317396876,1.0,0.003095229466756185
feynman_I.12.2,0.0,30,1.0,1.0,0.8864866068260312,0.9999999999999999,1.0,0.22376614411671955
feynman_I.12.2,0.01,30,10.0,0.0,0.0,0.11351339317396876,0.0,0.17452707290649414
feynman_I.12.2,0.02,30,13.066666666666666,0.0,0.0,0.11351339317396876,0.0,0.1532444477081299
feynman_angular_momentum_2d,0.0,30,1.0,1.0,0.8864866068260312,0.9999999999999999,1.0,0.015730253855387368
feynman_angular_momentum_2d,0.01,30,1.0,1.0,0.8864866068260312,0.9999999999999999,1.0,0.013859264055887858
feynman_angular_momentum_2d,0.02,30,1.0,1.0,0.8864866068260312,0.9999999999999999,1.0,0.013911803563435873
feynman_circle_locus,0.0,30,1.0,1.0,0.8864866068260312,0.9999999999999999,1.0,0.004714822769165039
feynman_circle_locus,0.01,30,1.0,1.0,0.8864866068260312,0.9999999999999999,1.0,0.004998000462849935
feynman_circle_locus,0.02,30,1.0,0.9666666666666667,0.8332960900859082,0.9940914096183874,1.0,0.004937195777893066
feynman_kinematics_position,0.0,30,1.0,1.0,0.8864866068260312,0.9999999999999999,1.0,0.058353328704833986
feynman_kinematics_position,0.01,30,5.633333333333334,1.0,0.8864866068260312,0.9999999999999999,1.0,0.0664796511332194
feynman_kinematics_position,0.02,30,9.0,0.0,0.0,0.11351339317396876,1.0,0.07556681632995606
feynman_newtons_second_law,0.0,30,1.0,1.0,0.8864866068260312,0.9999999999999999,1.0,0.004111981391906739
feynman_newtons_second_law,0.01,30,1.0,1.0,0.8864866068260312,0.9999999999999999,1.0,0.004199163118998209
feynman_newtons_second_law,0.02,30,2.0,1.0,0.8864866068260312,0.9999999999999999,1.0,0.005224776268005371
harmonic_oscillator_2d,0.0,30,7.0,0.0,0.0,0.11351339317396876,1.0,0.004966147740681966
harmonic_oscillator_2d,0.01,30,6.0,0.0,0.0,0.11351339317396876,0.0,0.005629642804463705
harmonic_oscillator_2d,0.02,30,6.033333333333333,0.0,0.0,0.11351339317396876,0.0,0.005621695518493652
kepler_angular_momentum,0.0,30,3.2,1.0,0.8864866068260312,0.9999999999999999,1.0,0.1304890235265096
kepler_angular_momentum,0.01,30,21.0,0.0,0.0,0.11351339317396876,0.0,0.11022696495056153
kepler_angular_momentum,0.02,30,20.333333333333332,0.0,0.0,0.11351339317396876,0.0,0.08918759028116861
sphere,0.0,30,1.0,1.0,0.8864866068260312,0.9999999999999999,1.0,0.004444257418314616
sphere,0.01,30,1.0,1.0,0.8864866068260312,0.9999999999999999,1.0,0.004593316713968913
sphere,0.02,30,1.0,1.0,0.8864866068260312,0.9999999999999999,1.0,0.004246838887532552
