test_id,feasible_reduced,feasible_redundant,a,b,c
0,False,False,-0.3763796434579125,1.3521429192297485,1.6536409503470217
1,False,False,0.3218000103044638,-0.07012751847411325,2.1945998605497192
2,False,False,1.383623703668579,-1.1503599368544075,2.0871755630985467
3,False,False,-0.5903955858471517,-0.19357172291453928,1.9450910563077395
4,False,False,0.8624307841002201,1.2727134972625302,0.6987511934224901
5,False,False,0.7437826111929482,-0.5305223896992705,1.6254499503940913
6,False,False,-0.08576898262217436,-0.7134549288311959,0.33996547610405625
7,False,False,-0.6377299410853657,-0.7954892733483937,0.3505764019468825
8,False,False,-1.337951860867694,0.4891628225929563,1.578532983377234
9,False,False,1.1488552738014217,-0.09432690746319095,0.987912417767623
10,False,False,0.5294297270592194,0.12957836227692354,1.8591534507087615
11,False,False,0.8735090593101815,-0.7602152878874042,0.72353605839365
12,False,False,1.3195986756685554,-0.9300593492126742,0.8309037693414119
13,False,False,0.6820473308664403,-1.1369253613239962,1.3848916106793903
14,False,False,1.2915546532893498,0.09273355484954737,0.7638840226864303
15,False,False,-1.1786952708532463,-0.012493526372912234,0.6788888468487004
16,False,False,-0.11220354569070734,-1.332014134266152,1.8032389239939421
17,False,False,1.059461414261488,1.4457057332759926,1.006404320116612
18,False,False,-1.3689522157451242,-0.09119851667542278,1.009606337543379
19,False,False,0.0498884856919517,0.20410179677141782,2.0099846561379806
20,False,False,0.05632040168900421,-1.2102708075666229,0.5855419613151349
21,False,False,1.4554334013549188,0.300605254427313,1.7068026238033684
22,False,False,-0.9696784937483586,0.4452736830427715,1.1196083356461546
23,False,False,-0.36741641748663545,-1.2141933992188838,1.55404933326581
24,False,False,-1.256717435077358,0.1810023031100636,0.6801109245709447
25,False,False,0.38270984756422344,-0.10874382196048171,2.068432432347448
26,False,False,0.15326517843307585,-0.4528604963567604,0.3725961608426756
27,False,False,0.5060189051958446,-0.15362726916020675,0.504235565828913
28,False,False,-0.8829338859199783,-0.6767805413258264,0.28314179248346866
29,False,False,-0.9681337438142691,-1.3839624709772014,1.7631237261141353
