problem,M,d,N,library_build,phi_eval,svd,csnp_or_l1,snap_round,groebner,total
4-sphere degree-3 (L1 fallback),35,5,5000,0.0004611643344105687,0.0015074836665007751,0.010296792998512197,0.19446516266665034,0.0007722530002259494,0.0014649059994553681,0.2089677626657552
"Circle (d=1, no CSNP)",6,1,5000,0.00011740500000693525,0.00015253266853202754,0.0006265550012661455,0.0,0.00038296800024302985,0.007183431999389238,0.008462892669437375
"MuJoCo q1=q2 (d=1, no CSNP)",3,1,5000,6.801833296776749e-05,4.633966697535167e-05,0.00017860133205734505,0.0,0.00021762733255551817,0.0006097386685723905,0.001120325333128373
