benchmark,SR-GB+CSNP_rate,SR-GB+CSNP_ci_low,SR-GB+CSNP_ci_high,SR-GB+CSNP_redundancy,SINDy-null (exact)_rate,SINDy-null (exact)_ci_low,SINDy-null (exact)_ci_high,SINDy-null (exact)_redundancy,SINDy-ST_rate,SINDy-ST_ci_low,SINDy-ST_ci_high,SINDy-ST_redundancy,OMP (exact)_rate,OMP (exact)_ci_low,OMP (exact)_ci_high,OMP (exact)_redundancy,Dense SVD+GB (exact)_rate,Dense SVD+GB (exact)_ci_low,Dense SVD+GB (exact)_ci_high,Dense SVD+GB (exact)_redundancy
sum,1.0,0.8864866068260312,0.9999999999999999,1.0,1.0,0.8864866068260312,0.9999999999999999,1.0,1.0,0.8864866068260312,0.9999999999999999,3.6333333333333333,1.0,0.8864866068260312,0.9999999999999999,1.0,1.0,0.8864866068260312,0.9999999999999999,1.0
ps2,1.0,0.8864866068260312,0.9999999999999999,1.0,1.0,0.8864866068260312,0.9999999999999999,1.0,1.0,0.8864866068260312,0.9999999999999999,6.1,1.0,0.8864866068260312,0.9999999999999999,1.0,1.0,0.8864866068260312,0.9999999999999999,1.0
ps3,1.0,0.8864866068260312,0.9999999999999999,1.0,1.0,0.8864866068260312,0.9999999999999999,1.0,0.0,0.0,0.11351339317396876,14.166666666666666,1.0,0.8864866068260312,0.9999999999999999,1.0,1.0,0.8864866068260312,0.9999999999999999,1.0
egcd,1.0,0.8864866068260312,0.9999999999999999,3.0,1.0,0.8864866068260312,0.9999999999999999,2.0,1.0,0.8864866068260312,0.9999999999999999,39.166666666666664,1.0,0.8864866068260312,0.9999999999999999,2.0,1.0,0.8864866068260312,0.9999999999999999,2.0
hash,0.0,0.0,0.11351339317396876,0.0,0.0,0.0,0.11351339317396876,0.0,0.0,0.0,0.11351339317396876,0.0,0.0,0.0,0.11351339317396876,0.0,0.0,0.0,0.11351339317396876,0.0
