system,qmax,fp_rate,k,n,med_runtime_s,ci_low,ci_high
generic_cloud,2,0.0,0,30,0.0182755485020607,0,0.11351339317396876
generic_cloud,4,0.0,0,30,0.021316586002285476,0,0.11351339317396876
generic_cloud,8,0.0,0,30,0.03698393699960434,0,0.11351339317396876
generic_cloud,16,0.0,0,30,0.039348758498817915,0,0.11351339317396876
generic_cloud,32,0.0,0,30,0.05698945550102508,0,0.11351339317396876
generic_cloud,64,0.0,0,30,0.07043965099910565,0,0.11351339317396876
irrational_pi,2,0.0,0,30,0.0056418615004076855,0,0.11351339317396876
irrational_pi,4,0.0,0,30,0.00556045799930871,0,0.11351339317396876
irrational_pi,8,0.0,0,30,0.005707746999178198,0,0.11351339317396876
irrational_pi,16,0.0,0,30,0.006050412501281244,0,0.11351339317396876
irrational_pi,32,0.0,0,30,0.0066347659994789865,0,0.11351339317396876
irrational_pi,64,0.0,0,30,0.007838585499484907,0,0.11351339317396876
