problem,csnp_rate,omp_rate,n_seeds,csnp_ci_low,csnp_ci_high,omp_ci_low,omp_ci_high
harmonic_oscillator,1.0,0.0,30,0.8864866068260312,0.9999999999999999,0.0,0.11351339317396876
kepler,1.0,1.0,30,0.8864866068260312,0.9999999999999999,0.8864866068260312,0.9999999999999999
