sigma,srgb_rate,null_rate,sindy_st_rate,n_eqs,srgb_ci_low,srgb_ci_high,null_ci_low,null_ci_high,sindy_st_ci_low,sindy_st_ci_high
0.0,1.0,1.0,1.0,26,0.9950991890292792,0.9999999999999999,0.9950991890292792,0.9999999999999999,0.9950991890292792,0.9999999999999999
0.02,0.731,0.282,0.422,26,0.698565909311501,0.7607106394712432,0.2515988260154006,0.3146399890231185,0.3876039292717088,0.45675235141858334
0.05,0.597,0.204,0.297,26,0.5626232158708069,0.6312935491707963,0.17705797693129138,0.23353711879752004,0.26641148790573105,0.3304457637183044
