system,qmax,seed,false_positive,runtime_s
generic_cloud,2,0,False,0.019128020001517143
generic_cloud,2,1,False,0.01859038299880922
generic_cloud,2,2,False,0.019019878000108292
generic_cloud,2,3,False,0.0183223280000675
generic_cloud,2,4,False,0.01825309599735192
generic_cloud,2,5,False,0.018234281000331976
generic_cloud,2,6,False,0.01805317899925285
generic_cloud,2,7,False,0.018278611001733225
generic_cloud,2,8,False,0.018240998000692343
generic_cloud,2,9,False,0.01834005300042918
generic_cloud,2,10,False,0.018378839999058982
generic_cloud,2,11,False,0.018283323999639833
generic_cloud,2,12,False,0.01833133599939174
generic_cloud,2,13,False,0.01831141100046807
generic_cloud,2,14,False,0.01814258400190738
generic_cloud,2,15,False,0.018351892002101522
generic_cloud,2,16,False,0.018272486002388177
generic_cloud,2,17,False,0.018231940997793572
generic_cloud,2,18,False,0.018228755001473473
generic_cloud,2,19,False,0.018186305998824537
generic_cloud,2,20,False,0.018295481000677682
generic_cloud,2,21,False,0.018263244000991108
generic_cloud,2,22,False,0.018348197001614608
generic_cloud,2,23,False,0.018252497000503354
generic_cloud,2,24,False,0.018221993999759434
generic_cloud,2,25,False,0.018368125998676987
generic_cloud,2,26,False,0.018410343000141438
generic_cloud,2,27,False,0.01821140500032925
generic_cloud,2,28,False,0.018194964999565855
generic_cloud,2,29,False,0.018268239000462927
generic_cloud,4,0,False,0.023344848003034713
generic_cloud,4,1,False,0.021168314000533428
generic_cloud,4,2,False,0.021215487002336886
generic_cloud,4,3,False,0.021252310001727892
generic_cloud,4,4,False,0.021179018000111682
generic_cloud,4,5,False,0.021319172003131825
generic_cloud,4,6,False,0.02146334900317015
generic_cloud,4,7,False,0.02166703500188305
generic_cloud,4,8,False,0.02114247400095337
generic_cloud,4,9,False,0.021262648999254452
generic_cloud,4,10,False,0.021208146998105804
generic_cloud,4,11,False,0.021304918998794165
generic_cloud,4,12,False,0.021256523999909405
generic_cloud,4,13,False,0.02137625300019863
generic_cloud,4,14,False,0.021226821998425294
generic_cloud,4,15,False,0.021319577997928718
generic_cloud,4,16,False,0.021396904001449002
generic_cloud,4,17,False,0.02112980099991546
generic_cloud,4,18,False,0.021354674998292467
generic_cloud,4,19,False,0.021314000001439126
generic_cloud,4,20,False,0.02117626399922301
generic_cloud,4,21,False,0.021925483000813983
generic_cloud,4,22,False,0.021501944996998645
generic_cloud,4,23,False,0.021220353999524377
generic_cloud,4,24,False,0.021424581998871872
generic_cloud,4,25,False,0.021419781998702092
generic_cloud,4,26,False,0.02150480100317509
generic_cloud,4,27,False,0.021238244000414852
generic_cloud,4,28,False,0.021684924002329353
generic_cloud,4,29,False,0.021515199998248136
generic_cloud,8,0,False,0.040732168999966234
generic_cloud,8,1,False,0.037229560999548994
generic_cloud,8,2,False,0.03741699500096729
generic_cloud,8,3,False,0.03709444000196527
generic_cloud,8,4,False,0.03695944700302789
generic_cloud,8,5,False,0.037392796999483835
generic_cloud,8,6,False,0.036980949000280816
generic_cloud,8,7,False,0.03761494300124468
generic_cloud,8,8,False,0.03698692499892786
generic_cloud,8,9,False,0.036999923999246676
generic_cloud,8,10,False,0.022112915001343936
generic_cloud,8,11,False,0.02165079800033709
generic_cloud,8,12,False,0.03724589000194101
generic_cloud,8,13,False,0.0213700019994576
generic_cloud,8,14,False,0.03832189400054631
generic_cloud,8,15,False,0.02150036900275154
generic_cloud,8,16,False,0.02145547600230202
generic_cloud,8,17,False,0.021301402997778496
generic_cloud,8,18,False,0.02163424100217526
generic_cloud,8,19,False,0.03742317000069306
generic_cloud,8,20,False,0.03727223700116156
generic_cloud,8,21,False,0.02234193799813511
generic_cloud,8,22,False,0.021581091998086777
generic_cloud,8,23,False,0.03668214699791861
generic_cloud,8,24,False,0.03776264800035278
generic_cloud,8,25,False,0.021399920999101596
generic_cloud,8,26,False,0.037216802997136256
generic_cloud,8,27,False,0.03798909199758782
generic_cloud,8,28,False,0.021657490000507096
generic_cloud,8,29,False,0.021370785998442443
generic_cloud,16,0,False,0.06022367100013071
generic_cloud,16,1,False,0.03943954499845859
