library_build,phi_eval,svd,csnp_or_l1,snap_round,groebner,total,problem,M,d,N
0.000206283999432344,0.00013357799980440177,0.0006497500035038684,0.0,0.0003468889990472235,0.02000121699893498,0.021337718000722816,"Circle (d=1, no CSNP)",6,1,5000
8.992899893200956e-05,4.294300015317276e-05,0.00016189099915209226,0.0,0.0001406640003551729,0.0008002740032679867,0.0012357010018604342,"MuJoCo q1=q2 (d=1, no CSNP)",3,1,5000
0.000866461999976309,0.0011501679982757196,0.009194568996463204,0.5661014269971929,0.00035062499955529347,0.0014520700024149846,0.5791153209938784,4-sphere degree-3 (L1 fallback),35,5,5000
5.920400144532323e-05,0.00010481200297363102,0.000527071999385953,0.0,0.00024904900055844337,0.0008709559988346882,0.0018110930031980388,"Circle (d=1, no CSNP)",6,1,5000
3.433600068092346e-05,3.1110997952055186e-05,0.00012846499885199592,0.0,0.00012965699716005474,0.0005166690025362186,0.0008402379971812479,"MuJoCo q1=q2 (d=1, no CSNP)",3,1,5000
0.0001999360029003583,0.0011276950026513077,0.015875347999099176,0.008611583001766121,0.0009577520031598397,0.0019957049989898223,0.028768019008566625,4-sphere degree-3 (L1 fallback),35,5,5000
8.672699914313853e-05,0.00021920800281804986,0.0007028430009086151,0.0,0.0005529660011234228,0.0006781230003980454,0.0022398670043912716,"Circle (d=1, no CSNP)",6,1,5000
7.978999929036945e-05,6.496500282082707e-05,0.00024544799816794693,0.0,0.0003825610001513269,0.000512272999912966,0.0012850370003434364,"MuJoCo q1=q2 (d=1, no CSNP)",3,1,5000
0.0003170950003550388,0.002244587998575298,0.0058204619999742135,0.008682478000991978,0.001008381997962715,0.0009469429969612975,0.01901994799482054,4-sphere degree-3 (L1 fallback),35,5,5000
