k,sigma,seed,generator,hard_infeasible
7.0,0.01,29,x*y+vx*vy (cross term),False
7.0,0.01,29,x*vy-y*vx (ang. momentum),False
0.0,0.02,0,x^2+vx^2 (x-energy),False
0.0,0.02,0,y^2+vy^2 (y-energy),False
0.0,0.02,0,x*y+vx*vy (cross term),False
0.0,0.02,0,x*vy-y*vx (ang. momentum),False
1.0,0.02,0,x^2+vx^2 (x-energy),False
1.0,0.02,0,y^2+vy^2 (y-energy),False
1.0,0.02,0,x*y+vx*vy (cross term),False
1.0,0.02,0,x*vy-y*vx (ang. momentum),False
1.5,0.02,0,x^2+vx^2 (x-energy),False
1.5,0.02,0,y^2+vy^2 (y-energy),False
1.5,0.02,0,x*y+vx*vy (cross term),False
1.5,0.02,0,x*vy-y*vx (ang. momentum),False
2.0,0.02,0,x^2+vx^2 (x-energy),False
2.0,0.02,0,y^2+vy^2 (y-energy),False
2.0,0.02,0,x*y+vx*vy (cross term),False
2.0,0.02,0,x*vy-y*vx (ang. momentum),False
2.5,0.02,0,x^2+vx^2 (x-energy),False
2.5,0.02,0,y^2+vy^2 (y-energy),False
2.5,0.02,0,x*y+vx*vy (cross term),False
2.5,0.02,0,x*vy-y*vx (ang. momentum),False
3.0,0.02,0,x^2+vx^2 (x-energy),False
3.0,0.02,0,y^2+vy^2 (y-energy),False
3.0,0.02,0,x*y+vx*vy (cross term),False
3.0,0.02,0,x*vy-y*vx (ang. momentum),False
3.5,0.02,0,x^2+vx^2 (x-energy),False
3.5,0.02,0,y^2+vy^2 (y-energy),False
3.5,0.02,0,x*y+vx*vy (cross term),False
3.5,0.02,0,x*vy-y*vx (ang. momentum),False
4.0,0.02,0,x^2+vx^2 (x-energy),False
4.0,0.02,0,y^2+vy^2 (y-energy),False
4.0,0.02,0,x*y+vx*vy (cross term),False
4.0,0.02,0,x*vy-y*vx (ang. momentum),False
5.0,0.02,0,x^2+vx^2 (x-energy),False
5.0,0.02,0,y^2+vy^2 (y-energy),False
5.0,0.02,0,x*y+vx*vy (cross term),False
5.0,0.02,0,x*vy-y*vx (ang. momentum),False
7.0,0.02,0,x^2+vx^2 (x-energy),False
7.0,0.02,0,y^2+vy^2 (y-energy),False
7.0,0.02,0,x*y+vx*vy (cross term),False
7.0,0.02,0,x*vy-y*vx (ang. momentum),False
0.0,0.02,1,x^2+vx^2 (x-energy),False
0.0,0.02,1,y^2+vy^2 (y-energy),False
0.0,0.02,1,x*y+vx*vy (cross term),False
0.0,0.02,1,x*vy-y*vx (ang. momentum),False
1.0,0.02,1,x^2+vx^2 (x-energy),False
1.0,0.02,1,y^2+vy^2 (y-energy),False
1.0,0.02,1,x*y+vx*vy (cross term),False
1.0,0.02,1,x*vy-y*vx (ang. momentum),False
1.5,0.02,1,x^2+vx^2 (x-energy),False
1.5,0.02,1,y^2+vy^2 (y-energy),False
1.5,0.02,1,x*y+vx*vy (cross term),False
1.5,0.02,1,x*vy-y*vx (ang. momentum),False
2.0,0.02,1,x^2+vx^2 (x-energy),False
2.0,0.02,1,y^2+vy^2 (y-energy),False
2.0,0.02,1,x*y+vx*vy (cross term),False
2.0,0.02,1,x*vy-y*vx (ang. momentum),False
2.5,0.02,1,x^2+vx^2 (x-energy),False
2.5,0.02,1,y^2+vy^2 (y-energy),False
2.5,0.02,1,x*y+vx*vy (cross term),False
2.5,0.02,1,x*vy-y*vx (ang. momentum),False
3.0,0.02,1,x^2+vx^2 (x-energy),False
3.0,0.02,1,y^2+vy^2 (y-energy),False
3.0,0.02,1,x*y+vx*vy (cross term),False
3.0,0.02,1,x*vy-y*vx (ang. momentum),False
3.5,0.02,1,x^2+vx^2 (x-energy),False
3.5,0.02,1,y^2+vy^2 (y-energy),False
3.5,0.02,1,x*y+vx*vy (cross term),False
3.5,0.02,1,x*vy-y*vx (ang. momentum),False
4.0,0.02,1,x^2+vx^2 (x-energy),False
4.0,0.02,1,y^2+vy^2 (y-energy),False
4.0,0.02,1,x*y+vx*vy (cross term),False
4.0,0.02,1,x*vy-y*vx (ang. momentum),False
5.0,0.02,1,x^2+vx^2 (x-energy),False
5.0,0.02,1,y^2+vy^2 (y-energy),False
5.0,0.02,1,x*y+vx*vy (cross term),False
5.0,0.02,1,x*vy-y*vx (ang. momentum),False
7.0,0.02,1,x^2+vx^2 (x-energy),False
7.0,0.02,1,y^2+vy^2 (y-energy),False
7.0,0.02,1,x*y+vx*vy (cross term),False
7.0,0.02,1,x*vy-y*vx (ang. momentum),False
0.0,0.02,2,x^2+vx^2 (x-energy),False
0.0,0.02,2,y^2+vy^2 (y-energy),False
0.0,0.02,2,x*y+vx*vy (cross term),False
0.0,0.02,2,x*vy-y*vx (ang. momentum),False
1.0,0.02,2,x^2+vx^2 (x-energy),False
1.0,0.02,2,y^2+vy^2 (y-energy),False
1.0,0.02,2,x*y+vx*vy (cross term),False
1.0,0.02,2,x*vy-y*vx (ang. momentum),False
1.5,0.02,2,x^2+vx^2 (x-energy),False
1.5,0.02,2,y^2+vy^2 (y-energy),False
1.5,0.02,2,x*y+vx*vy (cross term),False
1.5,0.02,2,x*vy-y*vx (ang. momentum),False
2.0,0.02,2,x^2+vx^2 (x-energy),False
2.0,0.02,2,y^2+vy^2 (y-energy),False
2.0,0.02,2,x*y+vx*vy (cross term),False
2.0,0.02,2,x*vy-y*vx (ang. momentum),False
2.5,0.02,2,x^2+vx^2 (x-energy),False
2.5,0.02,2,y^2+vy^2 (y-energy),False
2.5,0.02,2,x*y+vx*vy (cross term),False
2.5,0.02,2,x*vy-y*vx (ang. momentum),False
3.0,0.02,2,x^2+vx^2 (x-energy),False
3.0,0.02,2,y^2+vy^2 (y-energy),False
3.0,0.02,2,x*y+vx*vy (cross term),False
3.0,0.02,2,x*vy-y*vx (ang. momentum),False
3.5,0.02,2,x^2+vx^2 (x-energy),False
3.5,0.02,2,y^2+vy^2 (y-energy),False
3.5,0.02,2,x*y+vx*vy (cross term),False
3.5,0.02,2,x*vy-y*vx (ang. momentum),False
4.0,0.02,2,x^2+vx^2 (x-energy),False
4.0,0.02,2,y^2+vy^2 (y-energy),False
4.0,0.02,2,x*y+vx*vy (cross term),False
4.0,0.02,2,x*vy-y*vx (ang. momentum),False
5.0,0.02,2,x^2+vx^2 (x-energy),False
5.0,0.02,2,y^2+vy^2 (y-energy),False
5.0,0.02,2,x*y+vx*vy (cross term),False
5.0,0.02,2,x*vy-y*vx (ang. momentum),False
7.0,0.02,2,x^2+vx^2 (x-energy),False
7.0,0.02,2,y^2+vy^2 (y-energy),False
7.0,0.02,2,x*y+vx*vy (cross term),False
7.0,0.02,2,x*vy-y*vx (ang. momentum),False
0.0,0.02,3,x^2+vx^2 (x-energy),False
0.0,0.02,3,y^2+vy^2 (y-energy),False
0.0,0.02,3,x*y+vx*vy (cross term),False
0.0,0.02,3,x*vy-y*vx (ang. momentum),False
1.0,0.02,3,x^2+vx^2 (x-energy),False
1.0,0.02,3,y^2+vy^2 (y-energy),False
1.0,0.02,3,x*y+vx*vy (cross term),False
1.0,0.02,3,x*vy-y*vx (ang. momentum),False
1.5,0.02,3,x^2+vx^2 (x-energy),False
1.5,0.02,3,y^2+vy^2 (y-energy),False
1.5,0.02,3,x*y+vx*vy (cross term),False
1.5,0.02,3,x*vy-y*vx (ang. momentum),False
2.0,0.02,3,x^2+vx^2 (x-energy),False
2.0,0.02,3,y^2+vy^2 (y-energy),False
2.0,0.02,3,x*y+vx*vy (cross term),False
2.0,0.02,3,x*vy-y*vx (ang. momentum),False
2.5,0.02,3,x^2+vx^2 (x-energy),False
2.5,0.02,3,y^2+vy^2 (y-energy),False
2.5,0.02,3,x*y+vx*vy (cross term),False
2.5,0.02,3,x*vy-y*vx (ang. momentum),False
3.0,0.02,3,x^2+vx^2 (x-energy),False
3.0,0.02,3,y^2+vy^2 (y-energy),False
3.0,0.02,3,x*y+vx*vy (cross term),False
3.0,0.02,3,x*vy-y*vx (ang. momentum),False
3.5,0.02,3,x^2+vx^2 (x-energy),False
3.5,0.02,3,y^2+vy^2 (y-energy),False
3.5,0.02,3,x*y+vx*vy (cross term),False
3.5,0.02,3,x*vy-y*vx (ang. momentum),False
4.0,0.02,3,x^2+vx^2 (x-energy),False
4.0,0.02,3,y^2+vy^2 (y-energy),False
4.0,0.02,3,x*y+vx*vy (cross term),False
4.0,0.02,3,x*vy-y*vx (ang. momentum),False
5.0,0.02,3,x^2+vx^2 (x-energy),False
5.0,0.02,3,y^2+vy^2 (y-energy),False
5.0,0.02,3,x*y+vx*vy (cross term),False
5.0,0.02,3,x*vy-y*vx (ang. momentum),False
7.0,0.02,3,x^2+vx^2 (x-energy),False
7.0,0.02,3,y^2+vy^2 (y-energy),False
7.0,0.02,3,x*y+vx*vy (cross term),False
7.0,0.02,3,x*vy-y*vx (ang. momentum),False
0.0,0.02,4,x^2+vx^2 (x-energy),False
0.0,0.02,4,y^2+vy^2 (y-energy),False
0.0,0.02,4,x*y+vx*vy (cross term),False
0.0,0.02,4,x*vy-y*vx (ang. momentum),False
1.0,0.02,4,x^2+vx^2 (x-energy),False
1.0,0.02,4,y^2+vy^2 (y-energy),False
1.0,0.02,4,x*y+vx*vy (cross term),False
1.0,0.02,4,x*vy-y*vx (ang. momentum),False
1.5,0.02,4,x^2+vx^2 (x-energy),False
1.5,0.02,4,y^2+vy^2 (y-energy),False
1.5,0.02,4,x*y+vx*vy (cross term),False
1.5,0.02,4,x*vy-y*vx (ang. momentum),False
2.0,0.02,4,x^2+vx^2 (x-energy),False
2.0,0.02,4,y^2+vy^2 (y-energy),False
2.0,0.02,4,x*y+vx*vy (cross term),False
2.0,0.02,4,x*vy-y*vx (ang. momentum),False
2.5,0.02,4,x^2+vx^2 (x-energy),False
2.5,0.02,4,y^2+vy^2 (y-energy),False
2.5,0.02,4,x*y+vx*vy (cross term),False
2.5,0.02,4,x*vy-y*vx (ang. momentum),False
3.0,0.02,4,x^2+vx^2 (x-energy),False
3.0,0.02,4,y^2+vy^2 (y-energy),False
3.0,0.02,4,x*y+vx*vy (cross term),False
3.0,0.02,4,x*vy-y*vx (ang. momentum),False
3.5,0.02,4,x^2+vx^2 (x-energy),False
3.5,0.02,4,y^2+vy^2 (y-energy),False
3.5,0.02,4,x*y+vx*vy (cross term),False
3.5,0.02,4,x*vy-y*vx (ang. momentum),False
4.0,0.02,4,x^2+vx^2 (x-energy),False
4.0,0.02,4,y^2+vy^2 (y-energy),False
4.0,0.02,4,x*y+vx*vy (cross term),False
4.0,0.02,4,x*vy-y*vx (ang. momentum),False
5.0,0.02,4,x^2+vx^2 (x-energy),False
5.0,0.02,4,y^2+vy^2 (y-energy),False
5.0,0.02,4,x*y+vx*vy (cross term),False
5.0,0.02,4,x*vy-y*vx (ang. momentum),False
7.0,0.02,4,x^2+vx^2 (x-energy),False
7.0,0.02,4,y^2+vy^2 (y-energy),False
7.0,0.02,4,x*y+vx*vy (cross term),False
7.0,0.02,4,x*vy-y*vx (ang. momentum),False
0.0,0.02,5,x^2+vx^2 (x-energy),False
0.0,0.02,5,y^2+vy^2 (y-energy),False
0.0,0.02,5,x*y+vx*vy (cross term),False
0.0,0.02,5,x*vy-y*vx (ang. momentum),False
1.0,0.02,5,x^2+vx^2 (x-energy),False
1.0,0.02,5,y^2+vy^2 (y-energy),False
1.0,0.02,5,x*y+vx*vy (cross term),False
1.0,0.02,5,x*vy-y*vx (ang. momentum),False
1.5,0.02,5,x^2+vx^2 (x-energy),False
1.5,0.02,5,y^2+vy^2 (y-energy),False
1.5,0.02,5,x*y+vx*vy (cross term),False
1.5,0.02,5,x*vy-y*vx (ang. momentum),False
2.0,0.02,5,x^2+vx^2 (x-energy),False
2.0,0.02,5,y^2+vy^2 (y-energy),False
2.0,0.02,5,x*y+vx*vy (cross term),False
2.0,0.02,5,x*vy-y*vx (ang. momentum),False
2.5,0.02,5,x^2+vx^2 (x-energy),False
2.5,0.02,5,y^2+vy^2 (y-energy),False
2.5,0.02,5,x*y+vx*vy (cross term),False
2.5,0.02,5,x*vy-y*vx (ang. momentum),False
3.0,0.02,5,x^2+vx^2 (x-energy),False
3.0,0.02,5,y^2+vy^2 (y-energy),False
3.0,0.02,5,x*y+vx*vy (cross term),False
3.0,0.02,5,x*vy-y*vx (ang. momentum),False
3.5,0.02,5,x^2+vx^2 (x-energy),False
3.5,0.02,5,y^2+vy^2 (y-energy),False
3.5,0.02,5,x*y+vx*vy (cross term),False
3.5,0.02,5,x*vy-y*vx (ang. momentum),False
4.0,0.02,5,x^2+vx^2 (x-energy),False
4.0,0.02,5,y^2+vy^2 (y-energy),False
4.0,0.02,5,x*y+vx*vy (cross term),False
4.0,0.02,5,x*vy-y*vx (ang. momentum),False
5.0,0.02,5,x^2+vx^2 (x-energy),False
5.0,0.02,5,y^2+vy^2 (y-energy),False
5.0,0.02,5,x*y+vx*vy (cross term),False
5.0,0.02,5,x*vy-y*vx (ang. momentum),False
7.0,0.02,5,x^2+vx^2 (x-energy),False
7.0,0.02,5,y^2+vy^2 (y-energy),False
7.0,0.02,5,x*y+vx*vy (cross term),False
7.0,0.02,5,x*vy-y*vx (ang. momentum),False
0.0,0.02,6,x^2+vx^2 (x-energy),False
0.0,0.02,6,y^2+vy^2 (y-energy),False
0.0,0.02,6,x*y+vx*vy (cross term),False
0.0,0.02,6,x*vy-y*vx (ang. momentum),False
1.0,0.02,6,x^2+vx^2 (x-energy),False
1.0,0.02,6,y^2+vy^2 (y-energy),False
1.0,0.02,6,x*y+vx*vy (cross term),False
1.0,0.02,6,x*vy-y*vx (ang. momentum),False
1.5,0.02,6,x^2+vx^2 (x-energy),False
1.5,0.02,6,y^2+vy^2 (y-energy),False
1.5,0.02,6,x*y+vx*vy (cross term),False
1.5,0.02,6,x*vy-y*vx (ang. momentum),False
2.0,0.02,6,x^2+vx^2 (x-energy),False
2.0,0.02,6,y^2+vy^2 (y-energy),False
2.0,0.02,6,x*y+vx*vy (cross term),False
2.0,0.02,6,x*vy-y*vx (ang. momentum),False
2.5,0.02,6,x^2+vx^2 (x-energy),False
2.5,0.02,6,y^2+vy^2 (y-energy),False
2.5,0.02,6,x*y+vx*vy (cross term),False
2.5,0.02,6,x*vy-y*vx (ang. momentum),False
3.0,0.02,6,x^2+vx^2 (x-energy),False
3.0,0.02,6,y^2+vy^2 (y-energy),False
3.0,0.02,6,x*y+vx*vy (cross term),False
3.0,0.02,6,x*vy-y*vx (ang. momentum),False
3.5,0.02,6,x^2+vx^2 (x-energy),False
3.5,0.02,6,y^2+vy^2 (y-energy),False
3.5,0.02,6,x*y+vx*vy (cross term),False
3.5,0.02,6,x*vy-y*vx (ang. momentum),False
4.0,0.02,6,x^2+vx^2 (x-energy),False
4.0,0.02,6,y^2+vy^2 (y-energy),False
4.0,0.02,6,x*y+vx*vy (cross term),False
4.0,0.02,6,x*vy-y*vx (ang. momentum),False
5.0,0.02,6,x^2+vx^2 (x-energy),False
5.0,0.02,6,y^2+vy^2 (y-energy),False
5.0,0.02,6,x*y+vx*vy (cross term),False
5.0,0.02,6,x*vy-y*vx (ang. momentum),False
7.0,0.02,6,x^2+vx^2 (x-energy),False
7.0,0.02,6,y^2+vy^2 (y-energy),False
7.0,0.02,6,x*y+vx*vy (cross term),False
7.0,0.02,6,x*vy-y*vx (ang. momentum),False
0.0,0.02,7,x^2+vx^2 (x-energy),False
0.0,0.02,7,y^2+vy^2 (y-energy),False
0.0,0.02,7,x*y+vx*vy (cross term),False
0.0,0.02,7,x*vy-y*vx (ang. momentum),False
1.0,0.02,7,x^2+vx^2 (x-energy),False
1.0,0.02,7,y^2+vy^2 (y-energy),False
1.0,0.02,7,x*y+vx*vy (cross term),False
1.0,0.02,7,x*vy-y*vx (ang. momentum),False
1.5,0.02,7,x^2+vx^2 (x-energy),False
1.5,0.02,7,y^2+vy^2 (y-energy),False
1.5,0.02,7,x*y+vx*vy (cross term),False
1.5,0.02,7,x*vy-y*vx (ang. momentum),False
2.0,0.02,7,x^2+vx^2 (x-energy),False
2.0,0.02,7,y^2+vy^2 (y-energy),False
2.0,0.02,7,x*y+vx*vy (cross term),False
2.0,0.02,7,x*vy-y*vx (ang. momentum),False
2.5,0.02,7,x^2+vx^2 (x-energy),False
2.5,0.02,7,y^2+vy^2 (y-energy),False
2.5,0.02,7,x*y+vx*vy (cross term),False
2.5,0.02,7,x*vy-y*vx (ang. momentum),False
3.0,0.02,7,x^2+vx^2 (x-energy),False
3.0,0.02,7,y^2+vy^2 (y-energy),False
3.0,0.02,7,x*y+vx*vy (cross term),False
3.0,0.02,7,x*vy-y*vx (ang. momentum),False
3.5,0.02,7,x^2+vx^2 (x-energy),False
3.5,0.02,7,y^2+vy^2 (y-energy),False
3.5,0.02,7,x*y+vx*vy (cross term),False
3.5,0.02,7,x*vy-y*vx (ang. momentum),False
4.0,0.02,7,x^2+vx^2 (x-energy),False
4.0,0.02,7,y^2+vy^2 (y-energy),False
4.0,0.02,7,x*y+vx*vy (cross term),False
4.0,0.02,7,x*vy-y*vx (ang. momentum),False
5.0,0.02,7,x^2+vx^2 (x-energy),False
5.0,0.02,7,y^2+vy^2 (y-energy),False
5.0,0.02,7,x*y+vx*vy (cross term),False
5.0,0.02,7,x*vy-y*vx (ang. momentum),False
7.0,0.02,7,x^2+vx^2 (x-energy),False
7.0,0.02,7,y^2+vy^2 (y-energy),False
7.0,0.02,7,x*y+vx*vy (cross term),False
7.0,0.02,7,x*vy-y*vx (ang. momentum),False
0.0,0.02,8,x^2+vx^2 (x-energy),False
0.0,0.02,8,y^2+vy^2 (y-energy),False
0.0,0.02,8,x*y+vx*vy (cross term),False
0.0,0.02,8,x*vy-y*vx (ang. momentum),False
1.0,0.02,8,x^2+vx^2 (x-energy),False
1.0,0.02,8,y^2+vy^2 (y-energy),False
1.0,0.02,8,x*y+vx*vy (cross term),False
1.0,0.02,8,x*vy-y*vx (ang. momentum),False
1.5,0.02,8,x^2+vx^2 (x-energy),False
1.5,0.02,8,y^2+vy^2 (y-energy),False
1.5,0.02,8,x*y+vx*vy (cross term),False
1.5,0.02,8,x*vy-y*vx (ang. momentum),False
2.0,0.02,8,x^2+vx^2 (x-energy),False
2.0,0.02,8,y^2+vy^2 (y-energy),False
2.0,0.02,8,x*y+vx*vy (cross term),False
2.0,0.02,8,x*vy-y*vx (ang. momentum),False
2.5,0.02,8,x^2+vx^2 (x-energy),False
2.5,0.02,8,y^2+vy^2 (y-energy),False
2.5,0.02,8,x*y+vx*vy (cross term),False
2.5,0.02,8,x*vy-y*vx (ang. momentum),False
3.0,0.02,8,x^2+vx^2 (x-energy),False
3.0,0.02,8,y^2+vy^2 (y-energy),False
3.0,0.02,8,x*y+vx*vy (cross term),False
3.0,0.02,8,x*vy-y*vx (ang. momentum),False
3.5,0.02,8,x^2+vx^2 (x-energy),False
3.5,0.02,8,y^2+vy^2 (y-energy),False
3.5,0.02,8,x*y+vx*vy (cross term),False
3.5,0.02,8,x*vy-y*vx (ang. momentum),False
4.0,0.02,8,x^2+vx^2 (x-energy),False
4.0,0.02,8,y^2+vy^2 (y-energy),False
4.0,0.02,8,x*y+vx*vy (cross term),False
4.0,0.02,8,x*vy-y*vx (ang. momentum),False
5.0,0.02,8,x^2+vx^2 (x-energy),False
5.0,0.02,8,y^2+vy^2 (y-energy),False
5.0,0.02,8,x*y+vx*vy (cross term),False
5.0,0.02,8,x*vy-y*vx (ang. momentum),False
7.0,0.02,8,x^2+vx^2 (x-energy),False
7.0,0.02,8,y^2+vy^2 (y-energy),False
7.0,0.02,8,x*y+vx*vy (cross term),False
7.0,0.02,8,x*vy-y*vx (ang. momentum),False
0.0,0.02,9,x^2+vx^2 (x-energy),False
0.0,0.02,9,y^2+vy^2 (y-energy),False
0.0,0.02,9,x*y+vx*vy (cross term),False
0.0,0.02,9,x*vy-y*vx (ang. momentum),False
1.0,0.02,9,x^2+vx^2 (x-energy),False
1.0,0.02,9,y^2+vy^2 (y-energy),False
1.0,0.02,9,x*y+vx*vy (cross term),False
1.0,0.02,9,x*vy-y*vx (ang. momentum),False
1.5,0.02,9,x^2+vx^2 (x-energy),False
1.5,0.02,9,y^2+vy^2 (y-energy),False
1.5,0.02,9,x*y+vx*vy (cross term),False
1.5,0.02,9,x*vy-y*vx (ang. momentum),False
2.0,0.02,9,x^2+vx^2 (x-energy),False
2.0,0.02,9,y^2+vy^2 (y-energy),False
2.0,0.02,9,x*y+vx*vy (cross term),False
2.0,0.02,9,x*vy-y*vx (ang. momentum),False
2.5,0.02,9,x^2+vx^2 (x-energy),False
2.5,0.02,9,y^2+vy^2 (y-energy),False
2.5,0.02,9,x*y+vx*vy (cross term),False
2.5,0.02,9,x*vy-y*vx (ang. momentum),False
3.0,0.02,9,x^2+vx^2 (x-energy),False
3.0,0.02,9,y^2+vy^2 (y-energy),False
3.0,0.02,9,x*y+vx*vy (cross term),False
3.0,0.02,9,x*vy-y*vx (ang. momentum),False
3.5,0.02,9,x^2+vx^2 (x-energy),False
3.5,0.02,9,y^2+vy^2 (y-energy),False
3.5,0.02,9,x*y+vx*vy (cross term),False
3.5,0.02,9,x*vy-y*vx (ang. momentum),False
4.0,0.02,9,x^2+vx^2 (x-energy),False
4.0,0.02,9,y^2+vy^2 (y-energy),False
4.0,0.02,9,x*y+vx*vy (cross term),False
4.0,0.02,9,x*vy-y*vx (ang. momentum),False
5.0,0.02,9,x^2+vx^2 (x-energy),False
5.0,0.02,9,y^2+vy^2 (y-energy),False
5.0,0.02,9,x*y+vx*vy (cross term),False
5.0,0.02,9,x*vy-y*vx (ang. momentum),False
7.0,0.02,9,x^2+vx^2 (x-energy),False
7.0,0.02,9,y^2+vy^2 (y-energy),False
7.0,0.02,9,x*y+vx*vy (cross term),False
7.0,0.02,9,x*vy-y*vx (ang. momentum),False
0.0,0.02,10,x^2+vx^2 (x-energy),False
0.0,0.02,10,y^2+vy^2 (y-energy),False
0.0,0.02,10,x*y+vx*vy (cross term),False
0.0,0.02,10,x*vy-y*vx (ang. momentum),False
1.0,0.02,10,x^2+vx^2 (x-energy),False
1.0,0.02,10,y^2+vy^2 (y-energy),False
1.0,0.02,10,x*y+vx*vy (cross term),False
1.0,0.02,10,x*vy-y*vx (ang. momentum),False
1.5,0.02,10,x^2+vx^2 (x-energy),False
1.5,0.02,10,y^2+vy^2 (y-energy),False
1.5,0.02,10,x*y+vx*vy (cross term),False
1.5,0.02,10,x*vy-y*vx (ang. momentum),False
2.0,0.02,10,x^2+vx^2 (x-energy),False
2.0,0.02,10,y^2+vy^2 (y-energy),False
2.0,0.02,10,x*y+vx*vy (cross term),False
2.0,0.02,10,x*vy-y*vx (ang. momentum),False
2.5,0.02,10,x^2+vx^2 (x-energy),False
2.5,0.02,10,y^2+vy^2 (y-energy),False
2.5,0.02,10,x*y+vx*vy (cross term),False
2.5,0.02,10,x*vy-y*vx (ang. momentum),False
3.0,0.02,10,x^2+vx^2 (x-energy),False
3.0,0.02,10,y^2+vy^2 (y-energy),False
3.0,0.02,10,x*y+vx*vy (cross term),False
3.0,0.02,10,x*vy-y*vx (ang. momentum),False
3.5,0.02,10,x^2+vx^2 (x-energy),False
3.5,0.02,10,y^2+vy^2 (y-energy),False
3.5,0.02,10,x*y+vx*vy (cross term),False
3.5,0.02,10,x*vy-y*vx (ang. momentum),False
4.0,0.02,10,x^2+vx^2 (x-energy),False
4.0,0.02,10,y^2+vy^2 (y-energy),False
4.0,0.02,10,x*y+vx*vy (cross term),False
4.0,0.02,10,x*vy-y*vx (ang. momentum),False
5.0,0.02,10,x^2+vx^2 (x-energy),False
5.0,0.02,10,y^2+vy^2 (y-energy),False
5.0,0.02,10,x*y+vx*vy (cross term),False
5.0,0.02,10,x*vy-y*vx (ang. momentum),False
7.0,0.02,10,x^2+vx^2 (x-energy),False
7.0,0.02,10,y^2+vy^2 (y-energy),False
7.0,0.02,10,x*y+vx*vy (cross term),False
7.0,0.02,10,x*vy-y*vx (ang. momentum),False
0.0,0.02,11,x^2+vx^2 (x-energy),False
0.0,0.02,11,y^2+vy^2 (y-energy),False
0.0,0.02,11,x*y+vx*vy (cross term),False
0.0,0.02,11,x*vy-y*vx (ang. momentum),False
1.0,0.02,11,x^2+vx^2 (x-energy),False
1.0,0.02,11,y^2+vy^2 (y-energy),False
1.0,0.02,11,x*y+vx*vy (cross term),False
1.0,0.02,11,x*vy-y*vx (ang. momentum),False
1.5,0.02,11,x^2+vx^2 (x-energy),False
1.5,0.02,11,y^2+vy^2 (y-energy),False
1.5,0.02,11,x*y+vx*vy (cross term),False
1.5,0.02,11,x*vy-y*vx (ang. momentum),False
2.0,0.02,11,x^2+vx^2 (x-energy),False
2.0,0.02,11,y^2+vy^2 (y-energy),False
2.0,0.02,11,x*y+vx*vy (cross term),False
2.0,0.02,11,x*vy-y*vx (ang. momentum),False
2.5,0.02,11,x^2+vx^2 (x-energy),False
2.5,0.02,11,y^2+vy^2 (y-energy),False
2.5,0.02,11,x*y+vx*vy (cross term),False
2.5,0.02,11,x*vy-y*vx (ang. momentum),False
3.0,0.02,11,x^2+vx^2 (x-energy),False
3.0,0.02,11,y^2+vy^2 (y-energy),False
3.0,0.02,11,x*y+vx*vy (cross term),False
3.0,0.02,11,x*vy-y*vx (ang. momentum),False
3.5,0.02,11,x^2+vx^2 (x-energy),False
3.5,0.02,11,y^2+vy^2 (y-energy),False
3.5,0.02,11,x*y+vx*vy (cross term),False
3.5,0.02,11,x*vy-y*vx (ang. momentum),False
4.0,0.02,11,x^2+vx^2 (x-energy),False
4.0,0.02,11,y^2+vy^2 (y-energy),False
4.0,0.02,11,x*y+vx*vy (cross term),False
4.0,0.02,11,x*vy-y*vx (ang. momentum),False
5.0,0.02,11,x^2+vx^2 (x-energy),False
5.0,0.02,11,y^2+vy^2 (y-energy),False
5.0,0.02,11,x*y+vx*vy (cross term),False
5.0,0.02,11,x*vy-y*vx (ang. momentum),False
7.0,0.02,11,x^2+vx^2 (x-energy),False
7.0,0.02,11,y^2+vy^2 (y-energy),False
7.0,0.02,11,x*y+vx*vy (cross term),False
7.0,0.02,11,x*vy-y*vx (ang. momentum),False
0.0,0.02,12,x^2+vx^2 (x-energy),False
0.0,0.02,12,y^2+vy^2 (y-energy),False
0.0,0.02,12,x*y+vx*vy (cross term),False
0.0,0.02,12,x*vy-y*vx (ang. momentum),False
1.0,0.02,12,x^2+vx^2 (x-energy),False
1.0,0.02,12,y^2+vy^2 (y-energy),False
1.0,0.02,12,x*y+vx*vy (cross term),False
1.0,0.02,12,x*vy-y*vx (ang. momentum),False
1.5,0.02,12,x^2+vx^2 (x-energy),False
1.5,0.02,12,y^2+vy^2 (y-energy),False
1.5,0.02,12,x*y+vx*vy (cross term),False
1.5,0.02,12,x*vy-y*vx (ang. momentum),False
2.0,0.02,12,x^2+vx^2 (x-energy),False
2.0,0.02,12,y^2+vy^2 (y-energy),False
2.0,0.02,12,x*y+vx*vy (cross term),False
2.0,0.02,12,x*vy-y*vx (ang. momentum),False
2.5,0.02,12,x^2+vx^2 (x-energy),False
2.5,0.02,12,y^2+vy^2 (y-energy),False
2.5,0.02,12,x*y+vx*vy (cross term),False
2.5,0.02,12,x*vy-y*vx (ang. momentum),False
3.0,0.02,12,x^2+vx^2 (x-energy),False
3.0,0.02,12,y^2+vy^2 (y-energy),False
3.0,0.02,12,x*y+vx*vy (cross term),False
3.0,0.02,12,x*vy-y*vx (ang. momentum),False
3.5,0.02,12,x^2+vx^2 (x-energy),False
3.5,0.02,12,y^2+vy^2 (y-energy),False
3.5,0.02,12,x*y+vx*vy (cross term),False
3.5,0.02,12,x*vy-y*vx (ang. momentum),False
4.0,0.02,12,x^2+vx^2 (x-energy),False
4.0,0.02,12,y^2+vy^2 (y-energy),False
4.0,0.02,12,x*y+vx*vy (cross term),False
