seed,sigma,N,M,d_null,mode,exact,sparsity,residual,poly
10,0.01,5000,35,5,L1 fallback,False,10,0.23176894146912422,w**2*x + 4*w**2*y/7 + x**3 + 3*x**2*y/5 + x*y**2 + x*z**2 - x + 3*y**3/5 + 3*y*z**2/5 - 3*y/5
11,0.01,5000,35,5,L1 fallback,False,10,0.31823818075690347,w**2*y/15 + w**2*z + x**2*y/14 + x**2*z + y**3/14 + y**2*z + y*z**2/16 - y/15 + z**3 - z
12,0.01,5000,35,5,L1 fallback,True,5,0.6201339392116197,w**2 + x**2 + y**2 + z**2 - 1
13,0.01,5000,35,5,L1 fallback,False,15,0.22125846410008285,w**2*x - 3*w**2*y/5 - w**2*z/15 + x**3 - 3*x**2*y/5 - x**2*z/13 + x*y**2 + x*z**2 - x - 3*y**3/5 - y**2*z/14 - 3*y*z**2/5 + 3*y/5 - z**3/14 + z/14
14,0.01,5000,35,5,L1 fallback,False,10,0.43972826585219416,w**3 + w*x**2 + w*y**2 + w*z**2 - w
15,0.01,5000,35,5,L1 fallback,False,9,0.4534843379742087,w**3 + w*x**2 + w*y**2 + w*z**2 - w
16,0.01,5000,35,5,L1 fallback,False,15,0.23253356486948015,w**2*x + w**2*y + w**2*z/10 + x**3 + x**2*y + x**2*z/10 + x*y**2 + x*z**2 - x + y**3 + y**2*z/10 + y*z**2 - y + z**3/10 - z/10
17,0.01,5000,35,5,L1 fallback,False,15,0.22170178729883963,w**2*x + w**2*y/2 + x**3 + x**2*y/2 + x*y**2 + x*z**2 - x + y**3/2 + y*z**2/2 - y/2
18,0.01,5000,35,5,L1 fallback,False,10,0.21750850255681212,-w**2*x/5 + w**2*y - x**3/5 + x**2*y - x*y**2/5 - x*z**2/5 + x/5 + y**3 + y*z**2 - y
19,0.01,5000,35,5,L1 fallback,False,10,0.3094603096519591,w**2*y/10 + w**2*z + x**2*y/10 + x**2*z + y**3/10 + y**2*z + y*z**2/10 - y/10 + z**3 - z
20,0.01,5000,35,5,L1 fallback,False,10,0.3129682300461022,-w**2*x/10 + w**2*z - x**3/10 + x**2*z - x*y**2/10 - x*z**2/9 + x/10 + y**2*z + z**3 - z
21,0.01,5000,35,5,L1 fallback,False,10,0.21613496759951448,-5*w**2*x/6 + w**2*y - 5*x**3/6 + x**2*y - 5*x*y**2/6 - 5*x*z**2/6 + 5*x/6 + y**3 + y*z**2 - y
22,0.01,5000,35,5,L1 fallback,False,10,0.4490715698252657,w**3 - w**2*z/16 + w*x**2 + w*y**2 + w*z**2 - w - x**2*z/16 - y**2*z/16 - z**3/16 + z/16
23,0.01,5000,35,5,L1 fallback,True,6,0.6315764567981617,w**2 + x**2 + y**2 + z**2 - 1
24,0.01,5000,35,5,L1 fallback,False,14,0.22311040741738777,w**2*x/6 + w**2*y + x**3/6 + x**2*y + x*y**2/6 + x*z**2/6 - x/6 + y**3 + y*z**2 - y
25,0.01,5000,35,5,L1 fallback,False,15,0.21898254849970977,w**2*x - w**2*y/3 + w**2*z/10 + x**3 - x**2*y/3 + x**2*z/10 + x*y**2 + x*z**2 - x - y**3/3 + y**2*z/10 - y*z**2/3 + 4*y/13 + z**3/10 - z/10
26,0.01,5000,35,5,L1 fallback,True,10,0.6187753825966724,w**2 + x**2 + y**2 + z**2 - 1
27,0.01,5000,35,5,L1 fallback,False,10,0.2118794876497101,w**2*x/5 + w**2*y + x**3/5 + x**2*y + x*y**2/5 + x*z**2/5 - x/5 + y**3 + y*z**2 - y
28,0.01,5000,35,5,L1 fallback,False,10,0.4537100886414735,w**3 - w**2*z/13 + w*x**2 + w*y**2 + w*z**2 - w - x**2*z/14 - y**2*z/14 - z**3/13 + z/13
29,0.01,5000,35,5,L1 fallback,False,15,0.2219134540769178,-w**2*x + w**2*y - w**2*z/10 - x**3 + x**2*y - x**2*z/9 - x*y**2 - x*z**2 + x + y**3 - y**2*z/10 + y*z**2 - y - z**3/10 + z/10
0,0.02,5000,35,5,L1 fallback,False,6,0.8905543218494161,w**3 + w*x**2 + w*y**2 + w*z**2 - w
1,0.02,5000,35,5,L1 fallback,False,20,0.9045129023803619,w**3 + w*x**2 + w*y**2 + w*z**2 - w + x**2*y/16 + y**3/15 + y**2*z/15 - y**2/16 + y*z**2/15 - y/15 + z**3/16 - z/16
2,0.02,5000,35,5,L1 fallback,False,15,0.45507242254507696,w**2*x + w**2*y/4 - w**2*z/15 + x**3 + x**2*y/5 - x**2*z/16 + x*y**2 + x*z**2 - x + y**3/4 - y**2*z/16 + y*z**2/4 - y/4 - z**3/15 + z/15
3,0.02,5000,35,5,L1 fallback,False,15,0.42870230971147183,-w**2*x + w**2*y/2 - w**2*z/14 - x**3 + x**2*y/2 - x**2*z/16 - x*y**2 - x*z**2 + x + y**3/2 - y**2*z/13 + y*z**2/2 - y/2 - z**3/14 + z/14
4,0.02,5000,35,5,L1 fallback,False,10,0.44515765954960484,-w**2*y + w**2*z/8 - x**2*y + x**2*z/8 - y**3 + y**2*z/8 - y*z**2 + y + z**3/8 - z/8
5,0.02,5000,35,5,L1 fallback,True,5,1.2699302212838024,w**2 + x**2 + y**2 + z**2 - 1
6,0.02,5000,35,5,L1 fallback,True,8,1.276667813584642,w**2 + x**2 + y**2 + z**2 - 1
7,0.02,5000,35,5,L1 fallback,False,5,0.6363143102846202,w**2*z + x**2*z + y**2*z + z**3 - z
8,0.02,5000,35,5,L1 fallback,False,9,0.8870873807068784,w**3 + w*x**2 + w*y**2 + w*z**2 - w
9,0.02,5000,35,5,L1 fallback,False,10,0.87738765771225,w**3 + w**2*z/8 + w*x**2 + w*y**2 + w*z**2 - w + x**2*z/8 + y**2*z/8 + z**3/8 - z/14
10,0.02,5000,35,5,L1 fallback,False,10,0.4621851463611757,w**2*x + 3*w**2*y/5 + x**3 + 3*x**2*y/5 + x*y**2 + x*z**2 - x + 3*y**3/5 + 3*y*z**2/5 - 3*y/5
11,0.02,5000,35,5,L1 fallback,False,11,1.2659404017245492,-w**3/13 + w**2 - w*x**2/14 - w*y**2/13 - w*z**2/16 + w/13 + x**2 + y**2 + z**2 - 1
12,0.02,5000,35,5,L1 fallback,False,6,0.870100939166563,w**3 + w*x**2 + w*y**2 + w*z**2 - w
13,0.02,5000,35,5,L1 fallback,False,15,0.44145599719983325,w**2*x - 3*w**2*y/5 - w**2*z/15 + x**3 - 3*x**2*y/5 - x**2*z/11 + x*y**2 + x*z**2 - x - 3*y**3/5 - y**2*z/14 - 3*y*z**2/5 + 3*y/5 - z**3/14 + z/14
14,0.02,5000,35,5,L1 fallback,False,11,1.2624514255074553,w**2 + x**2 + y**2 - z**3/16 + z**2 + z/16 - 1
15,0.02,5000,35,5,L1 fallback,False,9,0.9043902810936009,w**3 + w*x**2 + w*y**2 + w*z**2 - w
16,0.02,5000,35,5,L1 fallback,False,15,0.46675847829919914,-w**2*x - w**2*y - w**2*z/9 - x**3 - x**2*y - x**2*z/8 - x*y**2 - x*z**2 + x - y**3 - y**2*z/9 - y*z**2 + y - z**3/9 + z/9
17,0.02,5000,35,5,L1 fallback,False,15,0.4426266698127088,w**2*x + 3*w**2*y/5 + x**3 + 4*x**2*y/7 - x**2*z/16 + x*y**2 + x*z**2 - x + 3*y**3/5 + 3*y*z**2/5 - 3*y/5
18,0.02,5000,35,5,L1 fallback,False,10,0.4347023094627407,w**2*x/5 - w**2*y + x**3/5 - x**2*y + x*y**2/5 + x*z**2/5 - x/5 - y**3 - y*z**2 + y
19,0.02,5000,35,5,L1 fallback,False,15,0.4488769222846518,3*w**2*x/5 + w**2*y - w**2*z/8 + 3*x**3/5 + x**2*y - x**2*z/8 + 3*x*y**2/5 + 3*x*z**2/5 - 3*x/5 + y**3 - y**2*z/8 + y*z**2 - y - z**3/8 + z/8
20,0.02,5000,35,5,L1 fallback,False,10,0.6252005015705089,-w**2*x/9 + w**2*z - x**3/9 + x**2*z - x*y**2/10 - x*z**2/8 + x/9 + y**2*z + z**3 - z
21,0.02,5000,35,5,L1 fallback,False,10,0.4318307934980923,-5*w**2*x/6 + w**2*y - 5*x**3/6 + x**2*y - 5*x*y**2/6 - 5*x*z**2/6 + 5*x/6 + y**3 + y*z**2 - y
22,0.02,5000,35,5,L1 fallback,True,6,1.2582202549258612,w**2 + x**2 + y**2 + z**2 - 1
23,0.02,5000,35,5,L1 fallback,False,10,0.4528213755942797,w**2*x - 2*w**2*y/3 + x**3 - 2*x**2*y/3 + x*y**2 + x*z**2 - x - 2*y**3/3 - 2*y*z**2/3 + 2*y/3
24,0.02,5000,35,5,L1 fallback,False,14,0.446810451170884,w**2*x/7 + w**2*y + x**3/7 + x**2*y + x*y**2/8 + x*z**2/7 - x/7 + y**3 + y*z**2 - y
25,0.02,5000,35,5,L1 fallback,False,15,0.43783066890908173,-w**2*x + w**2*y/3 - w**2*z/9 - x**3 + x**2*y/4 - x**2*z/9 - x*y**2 - x*z**2 + x + y**3/3 - y**2*z/10 + y*z**2/4 - y/3 - z**3/9 + z/9
26,0.02,5000,35,5,L1 fallback,False,10,0.4392387922358404,-w**2*x - 4*w**2*y/5 - x**3 - 4*x**2*y/5 - x*y**2 - x*z**2 + x - 4*y**3/5 - 4*y*z**2/5 + 4*y/5
27,0.02,5000,35,5,L1 fallback,False,10,0.42337408656187225,w**2*x/5 + w**2*y + x**3/5 + x**2*y + x*y**2/5 + x*z**2/4 - x/5 + y**3 + y*z**2 - y
28,0.02,5000,35,5,L1 fallback,False,11,0.9066255758041442,w**3 - w**2*z/13 + w*x**2 + w*y**2 + w*z**2 - w - x**2*z/14 - y**2*z/14 - z**3/14 + z/14
29,0.02,5000,35,5,L1 fallback,False,15,0.44335016221932605,w**2*x - w**2*y + w**2*z/9 + x**3 - x**2*y + x**2*z/8 + x*y**2 + x*z**2 - x - y**3 + y**2*z/9 - y*z**2 + y + z**3/9 - z/9
0,0.05,5000,35,0,"Combinatorial (C=324,632)",False,-1,-1.0,
1,0.05,5000,35,0,"Combinatorial (C=324,632)",False,-1,-1.0,
2,0.05,5000,35,0,"Combinatorial (C=324,632)",False,-1,-1.0,
3,0.05,5000,35,0,"Combinatorial (C=324,632)",False,-1,-1.0,
4,0.05,5000,35,0,"Combinatorial (C=324,632)",False,-1,-1.0,
5,0.05,5000,35,0,"Combinatorial (C=324,632)",False,-1,-1.0,
6,0.05,5000,35,0,"Combinatorial (C=324,632)",False,-1,-1.0,
7,0.05,5000,35,0,"Combinatorial (C=324,632)",False,-1,-1.0,
8,0.05,5000,35,0,"Combinatorial (C=324,632)",False,-1,-1.0,
