integrator,dt,sigma,seed,exact_Qdt,exact_H,n_generators,Qdt,returned,time
symplectic_euler,0.1,0.01,28,False,False,0,v**2 - v*x/10 + x**2,,0.021
symplectic_euler,0.1,0.01,29,False,False,0,v**2 - v*x/10 + x**2,,0.021
symplectic_euler,0.1,0.02,0,False,False,0,v**2 - v*x/10 + x**2,,0.02
symplectic_euler,0.1,0.02,1,False,False,0,v**2 - v*x/10 + x**2,,0.019
symplectic_euler,0.1,0.02,2,False,False,0,v**2 - v*x/10 + x**2,,0.022
symplectic_euler,0.1,0.02,3,False,False,0,v**2 - v*x/10 + x**2,,0.019
symplectic_euler,0.1,0.02,4,False,False,0,v**2 - v*x/10 + x**2,,0.019
symplectic_euler,0.1,0.02,5,False,False,0,v**2 - v*x/10 + x**2,,0.019
symplectic_euler,0.1,0.02,6,False,False,0,v**2 - v*x/10 + x**2,,0.019
symplectic_euler,0.1,0.02,7,False,False,0,v**2 - v*x/10 + x**2,,0.019
symplectic_euler,0.1,0.02,8,False,False,0,v**2 - v*x/10 + x**2,,0.019
symplectic_euler,0.1,0.02,9,False,False,0,v**2 - v*x/10 + x**2,,0.019
symplectic_euler,0.1,0.02,10,False,False,0,v**2 - v*x/10 + x**2,,0.019
symplectic_euler,0.1,0.02,11,False,False,0,v**2 - v*x/10 + x**2,,0.019
symplectic_euler,0.1,0.02,12,False,False,0,v**2 - v*x/10 + x**2,,0.019
symplectic_euler,0.1,0.02,13,False,False,0,v**2 - v*x/10 + x**2,,0.019
symplectic_euler,0.1,0.02,14,False,False,0,v**2 - v*x/10 + x**2,,0.019
symplectic_euler,0.1,0.02,15,False,False,0,v**2 - v*x/10 + x**2,,0.019
symplectic_euler,0.1,0.02,16,False,False,0,v**2 - v*x/10 + x**2,,0.02
symplectic_euler,0.1,0.02,17,False,False,0,v**2 - v*x/10 + x**2,,0.019
symplectic_euler,0.1,0.02,18,False,False,0,v**2 - v*x/10 + x**2,,0.019
symplectic_euler,0.1,0.02,19,False,False,0,v**2 - v*x/10 + x**2,,0.019
symplectic_euler,0.1,0.02,20,False,False,0,v**2 - v*x/10 + x**2,,0.019
symplectic_euler,0.1,0.02,21,False,False,0,v**2 - v*x/10 + x**2,,0.019
symplectic_euler,0.1,0.02,22,False,False,0,v**2 - v*x/10 + x**2,,0.019
symplectic_euler,0.1,0.02,23,False,False,0,v**2 - v*x/10 + x**2,,0.019
symplectic_euler,0.1,0.02,24,False,False,0,v**2 - v*x/10 + x**2,,0.019
symplectic_euler,0.1,0.02,25,False,False,0,v**2 - v*x/10 + x**2,,0.019
symplectic_euler,0.1,0.02,26,False,False,0,v**2 - v*x/10 + x**2,,0.019
symplectic_euler,0.1,0.02,27,False,False,0,v**2 - v*x/10 + x**2,,0.019
symplectic_euler,0.1,0.02,28,False,False,0,v**2 - v*x/10 + x**2,,0.02
symplectic_euler,0.1,0.02,29,False,False,0,v**2 - v*x/10 + x**2,,0.021
symplectic_euler,0.1,0.05,0,False,False,0,v**2 - v*x/10 + x**2,,0.007
symplectic_euler,0.1,0.05,1,False,False,0,v**2 - v*x/10 + x**2,,0.007
symplectic_euler,0.1,0.05,2,False,False,0,v**2 - v*x/10 + x**2,,0.007
symplectic_euler,0.1,0.05,3,False,False,0,v**2 - v*x/10 + x**2,,0.007
symplectic_euler,0.1,0.05,4,False,False,0,v**2 - v*x/10 + x**2,,0.007
symplectic_euler,0.1,0.05,5,False,False,0,v**2 - v*x/10 + x**2,,0.007
symplectic_euler,0.1,0.05,6,False,False,0,v**2 - v*x/10 + x**2,,0.007
symplectic_euler,0.1,0.05,7,False,False,0,v**2 - v*x/10 + x**2,,0.007
symplectic_euler,0.1,0.05,8,False,False,0,v**2 - v*x/10 + x**2,,0.007
symplectic_euler,0.1,0.05,9,False,False,0,v**2 - v*x/10 + x**2,,0.007
symplectic_euler,0.1,0.05,10,False,False,0,v**2 - v*x/10 + x**2,,0.007
symplectic_euler,0.1,0.05,11,False,False,0,v**2 - v*x/10 + x**2,,0.007
symplectic_euler,0.1,0.05,12,False,False,0,v**2 - v*x/10 + x**2,,0.007
symplectic_euler,0.1,0.05,13,False,False,0,v**2 - v*x/10 + x**2,,0.007
symplectic_euler,0.1,0.05,14,False,False,0,v**2 - v*x/10 + x**2,,0.007
symplectic_euler,0.1,0.05,15,False,False,0,v**2 - v*x/10 + x**2,,0.007
symplectic_euler,0.1,0.05,16,False,False,0,v**2 - v*x/10 + x**2,,0.007
