N,sigma,n_seeds,n_exact,rate,ci_low,ci_high
100,0.01,30,30,1.0,0.8864866068260312,0.9999999999999999
500,0.01,30,30,1.0,0.8864866068260312,0.9999999999999999
1000,0.01,30,30,1.0,0.8864866068260312,0.9999999999999999
2000,0.01,30,30,1.0,0.8864866068260312,0.9999999999999999
5000,0.01,30,30,1.0,0.8864866068260312,0.9999999999999999
10000,0.01,30,30,1.0,0.8864866068260312,0.9999999999999999
