sim_id,time,M,MpY,MpT,Mpp,MEK,MKP3,MpY_MEK,MpT_MEK,M_MEK_Y,M_MEK_T,Mpp_MKP3,MpY_MKP3,MpT_MKP3_Y,MpT_MKP3_T,M_MKP3_T,M_MKP3_Y
0,0.0,0.46025722077439146,0.4545076319619352,0.4857175518583482,0.469193238587298,0.4689355076848506,0.5255869253458737,0.49543881009510204,0.4742687533181437,0.5170455184662752,0.4930613212330167,0.514569067633854,0.47110351974043346,0.4853222226661889,0.514697398878763,0.5483753085838318,0.5409615039350426
0,0.5050505050505051,0.8648167887074034,0.9817947619537724,1.0276844001438332,0.7354476668766057,1.4191263462633743,1.3154640612669541,0.3063476518802784,0.22965494292329067,0.182110103863448,0.3115108658669831,0.3076691534850487,0.22716069600921807,0.3104917834642973,0.2443396753167624,0.6146951385158778,0.5807954387258214
0,1.0101010101010102,1.0747203037401718,1.2203209660058023,1.30413721615642,0.8701496793309368,1.8451426217372653,1.7490323333448197,0.20300441278004502,0.11404652987238938,0.06635017182228883,0.22020617458540212,0.1997608528939266,0.11451508720849515,0.20371825522798478,0.12128503324738905,0.6324716946020158,0.5798326902593556
0,1.5151515151515151,1.198052085154638,1.3301029097314807,1.4447091313419491,0.9364001334286044,2.0382811630763835,1.9958298864290178,0.1470808572860852,0.05973053257066875,0.02675627862761931,0.1769010792366241,0.1452258512325202,0.06323350990918174,0.13946862037564997,0.06622058926103043,0.628966481292069,0.5616710082845136
0,2.0202020202020203,1.281537430940119,1.3815000316488326,1.5157798736335009,0.9679189369587499,2.1264784013657154,2.1451046616642055,0.11662830976070251,0.03429749795258467,0.013450648727976966,0.1578950529903978,0.1184395295582484,0.040224167589721686,0.10115983903243399,0.04204144106384977,0.6165800016766606,0.53706630619886
0,2.5252525252525255,1.3454644952946426,1.4057631619208293,1.5510480665574717,0.9820501981886748,2.1663633680759014,2.2428093437344327,0.09985306924209068,0.02241283985484554,0.00914622468420014,0.15097440894033887,0.10579106764296965,0.030113762419308215,0.07850433024647659,0.031706826892093705,0.6008639225668513,0.5108266932818472
0,3.0303030303030303,1.3988932677241077,1.4170836867429821,1.5676757113301079,0.9875501319626735,2.18353554137174,2.312514046236847,0.09048160372633696,0.016862554322646415,0.007887575685209421,0.1499826356914444,0.10024210366483875,0.02583483238965539,0.06523877086131279,0.027492731215331086,0.5842571490530954,0.48503631336289893
0,3.5353535353535355,1.4460360727591315,1.4220790950324667,1.5744846896890292,0.988796825486965,2.189858461830312,2.366385010985995,0.08515770795942863,0.014264795004056668,0.007638536168272558,0.15183040983530835,0.09820419719586677,0.024162787928041624,0.05758184577042638,0.025937227373427726,0.5678006119787147,0.4605442655515073
0,4.040404040404041,1.4889492394181767,1.4239192198488717,1.5760664717428905,0.9879667464041436,2.1909628731086452,2.4107855941541514,0.08206826183884677,0.013038660934237225,0.007710537771514891,0.15496957714413392,0.09786422141165213,0.023636853377059255,0.0532605972513714,0.0255066153413805,0.5519152516554382,0.4376468135929267
0,4.545454545454546,1.5286968011063962,1.4241610240681861,1.5748435849149027,0.986136875037987,2.1895760880436077,2.4491089869325786,0.08022400410443828,0.01244737855170186,0.007874898585630738,0.15862754151199934,0.09831325197312811,0.02360088736297228,0.050912660763938675,0.025531088096576816,0.5367513328459544,0.4163977388088305
0,5.050505050505051,1.5658703126449967,1.4235867229771424,1.5721118804469094,0.9838374860738199,2.18703992547607,2.4832132665155133,0.07908026834096901,0.01214876691904242,0.008058004312795328,0.1624229457485019,0.0990998691977707,0.023763454927268956,0.049723438406575345,0.025723745848113204,0.5223436977483902,0.39674847414034903
0,5.555555555555556,1.600828766900297,1.4225971319209894,1.5685735459516805,0.9813279727598182,2.184021135991863,2.514153071389637,0.07833472181543703,0.011984550743290556,0.00823757916792215,0.16617192307886605,0.10000288042009993,0.023997176250909573,0.04920704295895755,0.02596520809272654,0.5086798783619995,0.3786106893096503
