sim_id,time,MKKK,MKKK_P,MKK,MKK_P,MKK_PP,MAPK,MAPK_P,MAPK_PP
0,0.0,0.5181735453220307,0.47503079672216675,0.48642808521594977,0.4712246943263673,0.49346521820818595,0.5441566562738753,0.5280663052314741,0.4902298750865187
0,0.5050505050505051,0.46929368946363265,0.523910652580565,0.4977698713811751,0.4716153605860293,0.4817327657832986,0.5525223058652353,0.5274221160791405,0.48250841464749245
0,1.0101010101010102,0.4260409346753956,0.5671634073688022,0.5090943319785055,0.47173094067342747,0.47029272509857023,0.5608790410808038,0.526670998664193,0.47490279684687153
0,1.5151515151515151,0.3877992652013408,0.6054050768428569,0.5203965003037717,0.4715849436961533,0.45913655375057816,0.5692252256171788,0.5258161696522304,0.467411441322459
0,2.0202020202020203,0.35401286065053345,0.6391914813936643,0.5316716339992528,0.47119033197302934,0.44825603177822104,0.5775592764358803,0.5248607968833313,0.46003276327265663
0,2.5252525252525255,0.3241833786108791,0.6690209634333188,0.542915199754387,0.4705594923336405,0.43764330566247556,0.5858796594592981,0.5238079780748277,0.45276519905774254
0,3.0303030303030303,0.29786387224448946,0.6953404697997084,0.5541228572794719,0.469704287516767,0.4272908529542641,0.5941848863551266,0.5226607459277329,0.4456072043090089
0,3.5353535353535355,0.27465416259845166,0.7185501794457462,0.5652904513623339,0.46863608602697354,0.4171914603611957,0.6024735134438597,0.5214220693962881,0.43855725375172055
0,4.040404040404041,0.25419681284158047,0.7390075292026174,0.5764140061465799,0.4673657864503757,0.4073382051535474,0.6107441408915749,0.5200948546395723,0.4316138410607212
0,4.545454545454546,0.23617299054799168,0.7570313514962062,0.5874897192175522,0.4659038427835863,0.39772443574936445,0.6189954116909027,0.5186819462783401,0.42477547862262555
0,5.050505050505051,0.22029911238489963,0.7729052296592981,0.5985139568663381,0.4642602849473437,0.3883437559368212,0.627226010778219,0.5171861284870015,0.4180406973266478
0,5.555555555555556,0.2063238625144099,0.7868804795297879,0.6094832503674878,0.4624447363847021,0.379190010998313,0.6354346642438833,0.5156101259665508,0.41140804638143424
0,6.0606060606060606,0.19402420799155395,0.7991801340526439,0.6203942909471507,0.4604664376979587,0.3702572691053935,0.6436201382458688,0.5139566052854161,0.4048760930605834
0,6.565656565656566,0.18320214535633803,0.8100021966878598,0.6312439242832178,0.45833426784394526,0.3615398056233397,0.6517812380349455,0.5122281760873589,0.39844342246956393
0,7.070707070707071,0.17368205879867146,0.8195222832455263,0.6420291475170228,0.4560567594014418,0.3530320908320384,0.6599168071096307,0.510427392141544,0.39210863734069373
0,7.575757575757576,0.1653085218796198,0.827895820164578,0.6527471059766737,0.4536421123951348,0.34472877937869434,0.6680257264362552,0.5085567523139987,0.3858703578416145
0,8.080808080808081,0.15794432512127732,0.8352600169229204,0.6633950899363792,0.4510982071712486,0.3366247006428752,0.6761069136946531,0.5066187015081701,0.3797272213890452
