sim_id,time,C,X,M,Y,Z
0,0.0,0.48574615502366475,0.5010619194356607,0.46857989358823,0.46655126981058986,0.48221395124870503
0,0.5050505050505051,0.4165786968613564,0.5140445997259825,0.551717218070078,0.5612906278127746,0.4742932411050992
0,1.0101010101010102,0.34487531365262514,0.5340456397351413,0.6145368229701683,0.6534814459429918,0.46658162076790777
0,1.5151515151515151,0.270295727755217,0.5583499918168059,0.655633301638986,0.743581907829678,0.45867929738879243
0,2.0202020202020203,0.19376744552132252,0.5842038981663235,0.6727110187322011,0.8320272127147844,0.4501992541440072
0,2.5252525252525255,0.11840393890702984,0.6087862864540583,0.661752120855201,0.9191952466259732,0.44080234307015376
0,3.0303030303030303,0.05284751345083822,0.6290980881055082,0.6166813172683797,1.0053118024758625,0.43029427967136746
0,3.5353535353535355,0.01776768708806897,0.6421094322250305,0.538024745524839,1.0901762648828348,0.4189060686626067
0,4.040404040404041,0.01236611171918174,0.6461420357226402,0.44718256342413937,1.1730565279919265,0.40741164207838426
0,4.545454545454546,0.012068595807724854,0.6414535585158478,0.35872247847167826,1.2536020988849776,0.39621699771265595
0,5.050505050505051,0.012261842884211166,0.6287785095521582,0.27571507031340164,1.3318290113206788,0.38536426053299494
0,5.555555555555556,0.012714039171818063,0.6088520979811777,0.2004015580433919,1.4077937692078117,0.3748539065974445
0,6.0606060606060606,0.013439820426506703,0.5825160194897184,0.13575294161584103,1.4815516755539149,0.36468618808572845
0,6.565656565656566,0.0144828075270945,0.5508880362838244,0.08525700997951403,1.5531541015099284,0.3548639364355083
0,7.070707070707071,0.01590296283143444,0.5154462868013573,0.0513603089974678,1.6226477110240487,0.34539343970334624
0,7.575757575757576,0.01777483505377975,0.47785131797058467,0.032945062063720394,1.6900737984933323,0.3362852224256578
0,8.080808080808081,0.020195753276585206,0.4395386660926992,0.025373501947764544,1.7554674425419212,0.32755502541791315
0,8.585858585858587,0.02330282194159789,0.401475114424459,0.023875330096638153,1.8188560114631793,0.3192254593168094
0,9.090909090909092,0.02728788339663397,0.36424580761674175,0.025623676016944215,1.8802567829517047,0.31132858741544617
0,9.595959595959597,0.032402929722787,0.32824556842247155,0.029457494752455297,1.9396739008275705,0.3039092331605786
0,10.101010101010102,0.038951480155876704,0.29381362673126166,0.035123152610075016,1.9970952146719398,0.2970284761305516
0,10.606060606060607,0.047259016938840055,0.26130293972341345,0.042810648097691396,2.0524899423006056,0.2907663888852439
0,11.111111111111112,0.05761798833499549,0.23111069561477057,0.0529296604957475,2.105808528117808,0.2852226072720881
0,11.616161616161618,0.07021222013003647,0.2036845551061418,0.06598536253771496,2.1569862264319783,0.2805131393397728
0,12.121212121212121,0.08504487699375349,0.17950813750539163,0.0824832091019067,2.205951221371209,0.2767625040042249
0,12.626262626262626,0.10189008525498051,0.15906649297446035,0.1028400803141037,2.2526367814704984,0.27409160086106366
0,13.131313131313131,0.12028670202080305,0.14279556278835,0.12730600358646907,2.2969955236563795,0.27260316705695126
0,13.636363636363637,0.13957503423088619,0.13102725524948064,0.15590538686984284,2.339013212060256,0.27236737612028183
0,14.141414141414142,0.15895749609484408,0.12394824547983187,0.18840905139379244,2.3787197866647416,0.2734099233069423
0,14.646464646464647,0.17757095372180626,0.12158846083800025,0.22433816536627754,2.416196018953207,0.27570428364785166
0,15.151515151515152,0.19455453128738026,0.12384222854837362,0.26298994657612695,2.45157558837703,0.27916845271419716
0,15.656565656565657,0.20909736287973457,0.13050787502513753,0.30347862047083,2.485043063586887,0.2836657873254484
0,16.161616161616163,0.2204713116298273,0.14132397483849532,0.3447782477306473,2.51682873742718,0.28900907910068724
0,16.666666666666668,0.228056300452397,0.15598727174139,0.38575434052216645,2.5472015432277137,0.29496668907445345
0,17.171717171717173,0.2313466999372484,0.17414965083547343,0.4251982483231611,2.5764609108103453,0.30126992102262096
0,17.67676767676768,0.22997054915543766,0.19540028559887068,0.4618480276628198,2.6049274171692742,0.307621799522774
0,18.181818181818183,0.22370872629288707,0.21924350246052263,0.49440179240946325,2.632933129738462,0.3137063718101042
0,18.68686868686869,0.21251680877689832,0.2450781765018758,0.5215314074432394,2.6608103585184875,0.31919984186149686
0,19.191919191919194,0.19656185590559055,0.27218382489202103,0.5418751565225337,2.688879315607361,0.32378305960064263
0,19.6969696969697,0.17626444304073177,0.29971242976481893,0.5540196060590443,2.7174334054132854,0.3271566799683334
0,20.202020202020204,0.15235264378520588,0.32668538887374615,0.5564687494955358,2.746721597876711,0.32905961623831076
0,20.70707070707071,0.12594715502364714,0.35199328247101,0.5476247137954375,2.776926337510278,0.32929240076707245
0,21.212121212121215,0.09867989749247873,0.37440098689273116,0.5258837241117833,2.8081344662261705,0.32774808537578154
0,21.71717171717172,0.07282639285730616,0.3925761481368009,0.49004790504872053,2.840298367553643,0.3244536976583674
0,22.222222222222225,0.05125544806646135,0.40518515326347104,0.4403096841453582,2.8731908434952254,0.31961895451971734
0,22.72727272727273,0.03653623358176998,0.41110154835639034,0.37955413227181417,2.9063881417866786,0.313657590804165
0,23.232323232323235,0.028978997956459217,0.40969114447636107,0.31345613875477524,2.939360940185203,0.30710006875588475
0,23.73737373737374,0.026375788260146277,0.4009685931596205,0.248258049886922,2.9716692098707296,0.3003989097195733
0,24.242424242424242,0.026449420504009283,0.38551503970580875,0.18885140627885755,3.003060709823257,0.2938266726746127
0,24.747474747474747,0.028102342644577158,0.3643326461949077,0.13884689158692295,3.0334131284656425,0.28753001381835414
0,25.252525252525253,0.031042524816904248,0.33875720876645626,0.10086444767956722,3.062654637419061,0.28160713088785555
0,25.757575757575758,0.03532874575375949,0.3103552882665948,0.07598613974755268,3.090721603779226,0.2761494482269535
0,26.262626262626263,0.04115678339515559,0.28072535183230524,0.06316438318821913,3.117541323196058,0.27125891982749295
0,26.767676767676768,0.04875992015722677,0.2512735218346056,0.059875009360380996,3.143026112728214,0.2670542204825207
0,27.272727272727273,0.05834070269805303,0.2231137288615085,0.0636126711534146,3.1670737319427533,0.2636706656216335
0,27.77777777777778,0.07000388158752077,0.1971103253481106,0.07274785065109904,3.189573136674851,0.2612547276242379
0,28.282828282828284,0.08369509068013625,0.1739609512774086,0.08648777317125614,3.2104154008482952,0.2599531929924984
0,28.78787878787879,0.0991632454386661,0.15424542065557045,0.1045178917406468,3.229508531128511,0.259898130526473
0,29.292929292929294,0.11595938752670562,0.13842927558780474,0.12668620159565103,3.246793509083395,0.26119027634114333
0,29.7979797979798,0.13347086231560185,0.12684150148242437,0.1528058353945335,3.2622584010699005,0.26388400471155943
0,30.303030303030305,0.1509787473806348,0.11965295664063079,0.18255411315127998,3.275947982959741,0.26797651308786713
0,30.80808080808081,0.16772250443543132,0.11687566207394544,0.21543599877986633,3.2879677051909977,0.2734025159196377
0,31.313131313131315,0.18295781948424394,0.1183887649210314,0.2507883894110077,3.298482024763008,0.28003454805742356
0,31.81818181818182,0.19599902531059604,0.12398028246327089,0.28780410009633023,3.307708260199819,0.28768784103743694
0,32.323232323232325,0.20624504431223262,0.1333844745233007,0.3255618479211666,3.315907759010446,0.29612806448072526
0,32.82828282828283,0.213193089494111,0.14630241611899977,0.3630554664792842,3.323375636551947,0.3050807162497039
0,33.333333333333336,0.21644666354250275,0.16240268337320068,0.39921730855159127,3.3304301524783178,0.3142411164371672
0,33.83838383838384,0.2157235937836108,0.18130790597961316,0.4329371865255849,3.3374020656302075,0.3232846667476353
0,34.343434343434346,0.2108677302260931,0.2025754243763473,0.46307595022939807,3.3446239195180514,0.3318774235131037
0,34.84848484848485,0.2018656412401894,0.2256787493644907,0.4884749913418057,3.352418971623891,0.339687262986281
0,35.35353535353536,0.18886932101252055,0.2499935383814748,0.5079587762634924,3.3610893394104564,0.346396096609953
0,35.85858585858586,0.1722254178146349,0.27478964957681623,0.5203292813093838,3.370902775420407,0.3517137546627917
0,36.36363636363637,0.1525110808797752,0.2992287062826786,0.5243608684349159,3.382077471982408,0.35539414351140414
0,36.86868686868687,0.13057892621277167,0.3223662536594453,0.51881036991569,3.394764217564051,0.357254410386681
0,37.37373737373738,0.10761073751624022,0.34316074196514723,0.5024924109293574,3.4090248174964506,0.3571983007541664
0,37.87878787878788,0.08516345410624154,0.3604990915789879,0.4745250879296288,3.424805996606967,0.3552445985973694
0,38.38383838383839,0.0651294199101559,0.3732568515654872,0.4348251065220851,3.4419126856976305,0.3515567339332003
0,38.88888888888889,0.04941158605484804,0.3804185592762659,0.38483909349542117,3.459994555219892,0.34645967338091127
0,39.3939393939394,0.03912331449013422,0.38125776823126395,0.3279903321858915,3.478580501985959,0.34040867806700537
0,39.8989898989899,0.033874037325343234,0.37550772998141096,0.2690943189783337,3.497185043120859,0.33388453780620947
0,40.40404040404041,0.032266769899401804,0.36342107310373534,0.21299359231288384,3.5154260964054096,0.3272746609996556
